Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,01/07/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Aruba,ABW,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23278.82273,,,,,,,,,
Africa Eastern and Southern,AFE,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,934.7518258,959.3469597,990.7879344,1034.629383,1096.454271,1093.554464,1037.925019,1069.749565,1098.051083,1123.418679,1157.607455,1177.382705,1204.444874,1222.007579,1225.219105,1215.968398,1259.197232,1275.937788,1225.037579,1257.897026,,,
Afghanistan,AFG,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,548.9684545,,,,,,,,,
Africa Western and Central,AFW,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1553.654158,,,,,,,,,
Angola,AGO,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1565.909207,1675.150997,1776.355014,1842.872491,2082.528869,1829.673367,1520.570998,1784.268733,1914.349358,2202.600599,2354.545535,2565.215557,2689.626825,2371.995619,2073.165773,1951.127621,1944.874508,2185.080752,2067.3725,1976.963541,,,
Albania,ALB,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1119.61166,1523.403011,1266.220651,1366.098838,1581.120032,1763.25604,1957.627918,2024.511273,2144.503149,2282.452048,2385.034528,2566.032095,2681.521761,2887.289406,2938.907032,3033.904061,3048.522166,3067.086025,3175.901744,3224.483345,3277.788243,3459.389699,3494.11673,3641.504752,3687.799285,3590.79503,4032.707603,,,
Andorra,AND,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3709.276674,3744.906406,3825.315423,4064.502955,4367.061148,4766.79288,4998.676173,5436.841076,4858.521589,5190.46559,5588.013021,5890.941796,5839.726846,5708.064459,5219.88246,5149.243972,5233.289532,5423.885597,5391.37493,4810.808176,,,,
United Arab Emirates,ARE,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52409.92626,48831.59392,48728.72396,50529.27177,51330.03701,55744.30719,53283.3098,50716.95779,39769.68194,38937.9494,43902.99238,45029.08745,45497.83353,45214.50096,39877.41804,39087.62791,39794.64692,40415.48749,40195.32675,34039.55781,,,,
Argentina,ARG,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,,,,,,,,,,,7794.722455,8456.083496,8258.311798,8601.281083,8742.364946,8602.792591,8285.304964,8612.975735,5233.500157,8431.901278,8623.604649,7924.436254,7239.312108,7479.291365,5082.379507,6917.618529,7749.805841,7531.978202,7176.364026,6176.099801,6105.647839,6949.722626,7829.751354,8134.638463,8416.53117,7919.213676,8353.500851,8863.121505,9029.812504,8422.221314,8248.259775,7773.262072,6841.469367,7559.39524,7419.368409,7881.406035,9419.037091,10450.22853,10930.35236,10003.51426,11044.53067,11891.30371,11607.36642,11739.48962,11201.41224,11668.43637,11333.19501,11879.06936,11121.12694,10479.79125,9611.856207,10783.62476,,,
Armenia,ARM,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,903.5752216,970.2127529,1047.511862,1097.671801,1146.825725,1117.881675,1214.515013,1399.29278,1686.020329,1870.670157,2161.533666,2492.996068,2932.470138,3225.623848,2534.823379,2593.061876,2677.599523,3031.618785,3138.66993,3185.995006,3150.669544,3117.27873,3455.014258,3610.468596,3826.67504,3479.141064,3561.774944,,,
American Samoa,ASM,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,AUS,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44512.59603,,,,,,,,,
Austria,AUT,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,,,,,,,,,,,15929.68307,16583.4823,17543.21345,18491.81598,18836.44765,18900.06396,19781.34772,20693.72421,20794.8325,21873.60396,22047.51005,21816.97163,22224.96176,23070.26583,23109.09976,23602.92387,24234.48095,24676.15673,25603.32762,26463.12647,27439.27727,27965.23656,28214.58798,27965.23637,28529.62118,29099.23099,29719.69511,30102.72418,31054.57296,31608.07125,32695.11907,32644.90845,33382.06607,33545.00664,34343.4741,34738.63783,35995.20072,37081.06458,37550.68993,35587.34179,36175.73528,36601.71051,36291.5283,36000.52649,36037.80268,35811.68578,36759.54904,36605.99213,37151.79521,37541.0905,34966.01232,36086.38516,,,
Azerbaijan,AZE,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4460.30161,,,,,,,,,
Burundi,BDI,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158.4951691,152.0839772,178.1138556,176.6198793,159.1108416,148.7284003,103.1921645,127.5461241,142.2397907,157.648842,131.3166258,132.8239468,135.9047233,156.8581828,151.2092463,172.9488526,179.8071262,181.6182017,202.0450777,180.3376658,178.5710919,187.2377687,188.3837296,186.4288036,182.7906341,,,
Belgium,BEL,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,,,,,,,,,,,16396.2779,16909.18995,17921.49398,19102.18814,19365.92386,19068.24248,20130.0043,20118.94732,20674.39713,21045.71369,20907.42039,20346.36722,20315.41871,20478.12205,21136.79891,21735.79107,22774.49437,23481.44079,24825.17905,25628.33016,26277.33622,26730.91344,27264.76423,27343.5598,28324.31598,28717.58583,28790.89417,29748.29209,30278.88901,30933.27888,31696.31162,31583.52256,32027.84826,31996.05961,32622.64309,32881.87704,33244.4951,34189.09891,33463.80151,32645.54512,32856.13714,31856.98564,32603.1432,32731.0353,33096.93417,33799.73983,34201.75589,34474.62071,34611.25283,35407.25503,32892.21054,34702.96048,,,
Benin,BEN,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,,,,,,,,,,,,673.7250759,698.1051426,709.9569156,689.5176215,625.8713154,607.3016274,595.9096623,602.9403573,655.9515988,692.3017801,707.0545593,655.2019896,606.9920705,623.1092294,663.3853478,635.8112375,604.2214544,612.315677,556.9633193,596.8031388,611.2371984,571.2007112,597.3546503,522.6848655,542.6042019,562.3032899,586.5096989,592.7917449,635.7129304,670.5594381,698.7160409,733.598427,747.5684836,772.6423093,752.4901525,757.3696055,776.0240812,792.5361881,787.1430183,778.8260473,791.8226377,816.0598425,870.3925537,897.456652,898.7970381,912.0080888,919.0171654,949.5001725,997.5157906,997.8976927,1053.044926,,,
Burkina Faso,BFA,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,,,,,,,,,,,,,,,,,,,,,326.6608796,330.361764,347.5745837,337.1106055,323.453661,317.9733558,339.3416575,327.9460987,338.2296034,330.3512514,322.5754842,337.4270817,330.4562463,331.5709747,300.0150831,316.1973957,341.2774405,348.9488367,369.6014683,370.5087795,373.3012667,385.7459528,389.5971177,406.0979258,411.9201342,428.1386229,438.4483448,441.640389,450.0626609,447.107785,469.6886232,483.6975951,527.4260066,528.9365023,529.9822143,543.1460657,572.1006518,592.0706925,621.4722989,648.118902,637.9582021,587.4514631,,,
Bangladesh,BGD,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,,,,,,,,,,,,,,485.8936763,467.3811386,433.9643155,426.4516436,405.4890592,431.4851634,447.1879106,445.097122,485.7328461,462.3678885,460.6302698,459.2214773,489.2528853,496.6734166,503.284041,505.3455096,507.5815301,532.5182357,515.032331,521.8965632,527.7460552,544.937502,555.0060686,560.5463248,562.1167913,574.511719,588.768787,610.9048839,629.6676972,643.0951124,660.1735073,701.5409413,738.0263526,788.6674741,838.5303736,873.7033819,909.2644141,956.7917711,1001.610325,1052.723758,1102.053601,1137.237032,1194.180107,1265.33608,1311.671391,1419.811756,1610.013008,1663.218842,1771.811436,,,
Bulgaria,BGR,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3634.455945,3580.199297,2796.71763,2903.772129,2693.353333,2810.57654,3081.317631,3405.887484,3596.652895,3898.491008,4125.770288,4364.020265,4528.994648,5075.438729,5067.940987,5167.29744,5398.008973,5547.613247,5582.711446,5783.009258,5981.340694,6374.640765,6724.823118,6946.190539,7496.15134,7419.753004,8074.147944,,,
Bahrain,BHR,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14907.31251,14958.02848,13030.51297,13802.13446,13497.90607,14315.95142,15172.91751,16679.97053,17283.73849,14769.65115,14993.13159,14359.08808,17376.90262,17944.7291,17394.34403,17082.53081,17354.09505,17386.43797,16952.4131,17465.75215,16092.99178,,,,
"Bahamas, The",BHS,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23687.46025,22862.21057,20939.57681,20696.36231,19788.08143,19763.81626,23981.54835,26734.6372,28869.26048,30748.87115,33492.45112,34499.28984,33179.26019,36367.59937,35162.65194,33742.56031,34911.57688,33403.04683,34389.92183,32856.77953,29331.86179,28128.87655,27281.55049,27035.68357,26034.97979,26439.45423,26904.54876,26792.23218,28135.82877,27492.53934,27916.56663,20486.61889,23262.29509,,,
Bosnia and Herzegovina,BIH,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2216.255801,2259.186347,2374.792598,2445.036151,2737.487787,2807.721742,3053.1336,3252.154213,3537.935718,3486.87911,3475.040802,3460.777202,3414.71198,3556.876584,3639.621372,3879.896309,4136.157068,4344.412628,4616.725403,4871.31674,4774.051,5289.631271,,,
Belarus,BLR,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1665.099271,1321.388881,1111.459286,1002.186217,1051.188424,1169.482843,1304.492339,1349.849433,1481.321393,1640.84244,1775.588454,1964.222364,2232.261596,2582.925677,2973.426673,3301.09633,3854.32184,3702.047819,4007.23546,4736.503272,4918.389674,4908.809854,5063.892439,4824.419478,4546.616365,4737.914482,5039.785168,5194.547231,5130.644883,5335.773036,,,
Belize,BLZ,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,,,,,,,,,,,,,,,,,,,,,3701.11613,2885.279977,2742.17069,2661.231595,2621.288062,2308.85046,2475.724005,2900.835768,3218.962098,3451.985761,4895.335141,5144.654374,5330.759865,5506.207606,5497.917121,5489.058489,5333.983359,4899.104124,4915.477879,5043.62383,4923.019646,4941.838216,5002.225631,4919.204413,4822.350085,4780.091835,4720.479032,4618.813389,4269.141455,4346.573463,4093.019812,4151.785056,4288.798181,4450.288922,4566.140666,4961.389643,4877.947032,4704.325989,4547.150583,4691.413904,4119.483208,4618.895966,,,
Bermuda,BMU,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,BOL,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,,,,,,,,,,,,,,,,,1947.944268,1952.931528,1837.475567,1753.06227,1707.15732,1743.350187,1551.694429,1503.188977,1455.359962,1491.430499,1405.095055,1438.139851,1418.761943,1423.853963,1467.908412,1510.226839,1505.886627,1515.98027,1550.990719,1606.477058,1674.005671,1739.337685,1812.976703,1744.480574,1695.357887,1720.426433,1747.825828,1766.382031,1799.216305,1805.44536,1896.243728,1946.085792,2129.772915,2140.192179,2240.341591,2307.802258,2323.768447,2414.659823,2452.201071,2532.414506,2629.413854,2703.564636,2780.803213,2818.97827,2560.577671,2512.776922,,,
Brazil,BRA,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,,,,,,,,,,,3450.680697,3766.058479,4135.309393,4613.254011,4781.128777,4837.859288,5235.544392,5355.03321,5383.35759,5550.223225,5697.064458,5199.70732,5066.996814,4695.324702,4897.748472,4271.098653,4732.84451,4718.444256,4623.762312,5040.188568,5105.89741,5091.089086,5018.019469,5161.961418,5359.076923,5755.105658,5878.306992,5914.382549,5728.608435,5422.061676,5547.546662,5484.271139,5554.302479,5537.219246,5862.591619,5915.049598,6181.258627,6540.185892,6719.193199,6604.097455,6968.821696,7126.470813,6986.723062,7230.947942,7115.663162,6666.747079,6370.903134,6573.618497,6589.195028,6631.247859,6418.472839,6478.170959,,,
Barbados,BRB,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14307.73421,,,,,,,,,
Brunei Darussalam,BRN,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17475.61966,19272.11976,19140.08483,17748.72272,16318.38412,15504.04513,20454.62919,16570.63283,15132.90129,15637.25684,15371.94927,15569.69823,16356.45831,16801.13954,18603.34817,20859.64502,22425.39127,22799.09683,27236.48423,22558.67306,24672.66677,28172.64351,29735.28939,29367.61151,28433.50154,25218.02373,23917.48689,24674.10165,23846.79574,24507.59906,23347.50308,22590.73828,,,
Bhutan,BTN,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,595.8166323,551.5718939,569.4395255,603.5411896,682.8664039,693.121884,733.9955077,814.6099345,780.7833844,793.9592888,1007.366793,1079.765005,1163.304909,1207.175073,1250.072006,1326.992463,1366.476104,1529.685057,1570.583515,1650.236044,1741.738686,1844.43005,1898.815167,1936.917776,2071.448232,2194.601147,2283.534023,2430.951831,2500.973577,2745.593571,2602.22814,2594.026624,,,
Botswana,BWA,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,,,,,,,,,,,,,,,,853.6701339,904.4258358,934.8698045,1039.642947,1154.546537,1105.546649,1139.412087,1133.103486,1150.984247,1203.835755,1518.670289,1690.740884,1857.770727,2141.511717,2183.97957,2443.089274,2608.410784,2625.69991,2790.678696,2396.637054,2612.804747,2877.825239,3163.58483,3013.625828,3271.012872,3141.601091,3162.220554,2755.30795,2532.587945,2556.028118,3032.487556,3283.948998,3566.178899,3904.450453,3581.360784,3899.280099,4579.826537,4548.220019,4762.925988,5126.413871,4758.559277,4954.42225,4820.94171,4645.508791,4962.394575,4899.495727,4982.561188,,,
Central African Republic,CAF,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,545.8598951,558.213961,529.8850381,519.2156514,296.7779606,287.7113283,305.4455,343.3426801,324.5011227,394.1832322,392.3223833,379.4805712,370.7823045,,,
Canada,CAN,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,,,,,,,,,,,16841.7153,17171.5549,18083.34831,19182.95735,19629.60713,19828.90999,20663.11659,20841.10443,21196.76309,21227.09117,21284.49734,21703.45539,20810.5395,21308.10243,22288.94232,23145.19359,23387.37481,24285.5129,25099.62283,25268.55397,24653.60989,23908.96921,23564.77993,23891.25216,24666.98576,25400.03621,25516.35828,26359.43899,26669.64143,28043.19063,29688.81013,29678.90327,30235.46936,30925.0548,32368.7039,33295.03783,34552.55416,35239.63754,35312.83785,32723.34026,34178.04198,35397.51765,35514.62661,36089.12804,36508.94049,35364.11911,35170.06953,36540.58633,36858.15633,37004.23488,33886.85286,36665.27397,,,
Central Europe and the Baltics,CEB,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4807.183046,5014.746913,5156.363531,5406.103393,5500.038874,5710.376996,5973.72525,6277.575731,6514.1205,6923.08792,7413.125643,7865.087511,8457.399006,8951.575616,8712.716226,8720.434867,8941.794754,9058.967063,9225.45987,9627.51265,10120.11584,10476.1465,11084.40997,11656.41738,12231.76059,12010.86137,12706.99581,,,
Switzerland,CHE,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54988.31752,55109.58578,57039.06077,59241.12704,60133.10914,62246.54879,60397.93031,59066.33542,61613.33305,62422.64114,65423.37237,67217.1251,63786.89007,58402.27365,62187.14393,67583.176,64603.82929,66129.98643,65565.5149,64631.81893,66347.41616,64682.48115,63688.99383,62877.88421,63360.22766,59464.10807,63884.7342,,,
Channel Islands,CHI,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,,,,,,,,,,,3257.408097,3606.675891,3650.99411,3319.09969,2855.665483,2199.478879,2329.90314,2592.666799,2740.612034,2945.616395,3076.018718,3219.963396,3477.813859,2473.442047,2333.979309,2256.574053,2428.387125,2667.506596,2894.333654,3090.09689,3186.877667,3544.722505,3957.18023,4179.387088,4443.015075,5002.116597,5274.435398,5619.687907,5877.459281,5741.689092,5884.591078,6046.254412,6173.142257,6376.098311,6694.653883,7216.212371,7447.742817,7985.803294,8041.373902,8297.496832,9137.388111,9317.096106,10227.73295,10610.14054,10671.89719,11170.85481,11005.70953,10943.67226,10853.70241,10992.04641,9874.300276,10447.45701,,,
China,CHN,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1113.267444,1228.325326,1323.978122,1411.097927,1508.10971,1622.744221,1778.912103,1969.813054,2179.286869,2387.246434,2664.706818,3016.427375,3441.679514,3631.830681,4065.065833,4378.309346,4549.357465,4985.453905,5242.070668,5645.28902,6012.718649,6400.126455,6809.310433,7058.374307,7355.049687,7361.264972,7861.416606,,,
Cote d'Ivoire,CIV,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,854.6127107,873.4959873,908.5108294,742.4046727,965.4586582,1013.586703,1632.568246,1715.603416,1757.375807,1755.404893,1789.846424,1831.626126,1842.456024,1857.410812,,,
Cameroon,CMR,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,,,,,,,,,,,,687.9746172,670.4484325,613.9432208,662.6763801,717.4719595,648.5094807,646.0149638,926.2086739,907.7466977,746.5035158,944.4880711,1217.455952,1183.991819,1231.27491,1273.63062,1536.228891,1357.286978,1161.033869,922.5318022,847.195615,838.7788244,698.8750111,809.4108017,779.012673,764.704225,757.7994291,808.3234314,844.1520898,875.4665132,860.8291405,874.3054634,883.1331735,933.9866908,995.2596544,981.9618203,999.0040609,989.3414366,970.2283364,1022.835505,1005.405449,995.435164,1015.68874,1073.904695,1123.698781,1147.733922,1174.939644,1178.164179,1201.3844,1226.636025,1253.00091,1206.615607,,,
