Units,scenario,region,sector,year,value
1975$/GJ,Lower Meat Demand,Africa_Eastern,biomass,1975,1
1975$/GJ,Lower Meat Demand,Africa_Eastern,biomass,1990,1.46884
1975$/GJ,Lower Meat Demand,Africa_Eastern,biomass,2005,1.64937
1975$/GJ,Lower Meat Demand,Africa_Eastern,biomass,2010,1.63637
1975$/GJ,Lower Meat Demand,Africa_Eastern,biomass,2015,1.68128
1975$/GJ,Lower Meat Demand,Africa_Eastern,biomass,2020,1.61056
1975$/GJ,Lower Meat Demand,Africa_Eastern,biomass,2025,1.32703
1975$/GJ,Lower Meat Demand,Africa_Eastern,biomass,2030,1.3064
1975$/GJ,Lower Meat Demand,Africa_Eastern,biomass,2035,1.30543
1975$/GJ,Lower Meat Demand,Africa_Eastern,biomass,2040,1.3636
1975$/GJ,Lower Meat Demand,Africa_Eastern,biomass,2045,1.42086
1975$/GJ,Lower Meat Demand,Africa_Eastern,biomass,2050,1.46382
1975$/GJ,Lower Meat Demand,Africa_Eastern,biomass,2055,1.51947
1975$/GJ,Lower Meat Demand,Africa_Eastern,biomass,2060,1.56876
1975$/GJ,Lower Meat Demand,Africa_Eastern,biomass,2065,1.60486
1975$/GJ,Lower Meat Demand,Africa_Eastern,biomass,2070,1.62209
1975$/GJ,Lower Meat Demand,Africa_Eastern,biomass,2075,1.62552
1975$/GJ,Lower Meat Demand,Africa_Eastern,biomass,2080,1.61935
1975$/GJ,Lower Meat Demand,Africa_Eastern,biomass,2085,1.60621
1975$/GJ,Lower Meat Demand,Africa_Eastern,biomass,2090,1.59028
1975$/GJ,Lower Meat Demand,Africa_Eastern,biomass,2095,1.57594
1975$/GJ,Lower Meat Demand,Africa_Eastern,biomass,2100,1.55766
1975$/GJ,Lower Meat Demand,Africa_Northern,biomass,1975,1
1975$/GJ,Lower Meat Demand,Africa_Northern,biomass,1990,0.921767
1975$/GJ,Lower Meat Demand,Africa_Northern,biomass,2005,0.954097
1975$/GJ,Lower Meat Demand,Africa_Northern,biomass,2010,1.04124
1975$/GJ,Lower Meat Demand,Africa_Northern,biomass,2015,1.08741
1975$/GJ,Lower Meat Demand,Africa_Northern,biomass,2020,1.08106
1975$/GJ,Lower Meat Demand,Africa_Northern,biomass,2025,1.04701
1975$/GJ,Lower Meat Demand,Africa_Northern,biomass,2030,1.09137
1975$/GJ,Lower Meat Demand,Africa_Northern,biomass,2035,1.13269
1975$/GJ,Lower Meat Demand,Africa_Northern,biomass,2040,1.21244
1975$/GJ,Lower Meat Demand,Africa_Northern,biomass,2045,1.27296
1975$/GJ,Lower Meat Demand,Africa_Northern,biomass,2050,1.32324
1975$/GJ,Lower Meat Demand,Africa_Northern,biomass,2055,1.3584
