Units,scenario,region,sector,year,value
1975$/GJ,Reference,Africa_Eastern,biomass,1975,1
1975$/GJ,Reference,Africa_Eastern,biomass,1990,1.46884
1975$/GJ,Reference,Africa_Eastern,biomass,2005,1.64937
1975$/GJ,Reference,Africa_Eastern,biomass,2010,1.63637
1975$/GJ,Reference,Africa_Eastern,biomass,2015,1.68128
1975$/GJ,Reference,Africa_Eastern,biomass,2020,1.6789
1975$/GJ,Reference,Africa_Eastern,biomass,2025,1.32815
1975$/GJ,Reference,Africa_Eastern,biomass,2030,1.30172
1975$/GJ,Reference,Africa_Eastern,biomass,2035,1.29561
1975$/GJ,Reference,Africa_Eastern,biomass,2040,1.36478
1975$/GJ,Reference,Africa_Eastern,biomass,2045,1.4405
1975$/GJ,Reference,Africa_Eastern,biomass,2050,1.50302
1975$/GJ,Reference,Africa_Eastern,biomass,2055,1.59624
1975$/GJ,Reference,Africa_Eastern,biomass,2060,1.6655
1975$/GJ,Reference,Africa_Eastern,biomass,2065,1.72353
1975$/GJ,Reference,Africa_Eastern,biomass,2070,1.76003
1975$/GJ,Reference,Africa_Eastern,biomass,2075,1.78102
1975$/GJ,Reference,Africa_Eastern,biomass,2080,1.7897
1975$/GJ,Reference,Africa_Eastern,biomass,2085,1.78854
1975$/GJ,Reference,Africa_Eastern,biomass,2090,1.77996
1975$/GJ,Reference,Africa_Eastern,biomass,2095,1.77037
1975$/GJ,Reference,Africa_Eastern,biomass,2100,1.75582
1975$/GJ,Reference,Africa_Northern,biomass,1975,1
1975$/GJ,Reference,Africa_Northern,biomass,1990,0.921767
1975$/GJ,Reference,Africa_Northern,biomass,2005,0.954097
1975$/GJ,Reference,Africa_Northern,biomass,2010,1.04124
1975$/GJ,Reference,Africa_Northern,biomass,2015,1.08741
1975$/GJ,Reference,Africa_Northern,biomass,2020,1.10075
1975$/GJ,Reference,Africa_Northern,biomass,2025,1.06771
1975$/GJ,Reference,Africa_Northern,biomass,2030,1.11437
1975$/GJ,Reference,Africa_Northern,biomass,2035,1.15493
1975$/GJ,Reference,Africa_Northern,biomass,2040,1.2325
1975$/GJ,Reference,Africa_Northern,biomass,2045,1.30252
1975$/GJ,Reference,Africa_Northern,biomass,2050,1.36023
1975$/GJ,Reference,Africa_Northern,biomass,2055,1.40245
1975$/GJ,Reference,Africa_Northern,biomass,2060,1.42791
1975$/GJ,Reference,Africa_Northern,biomass,2065,1.4491
1975$/GJ,Reference,Africa_Northern,biomass,2070,1.45865
1975$/GJ,Reference,Africa_Northern,biomass,2075,1.46349
1975$/GJ,Reference,Africa_Northern,biomass,2080,1.46475
1975$/GJ,Reference,Africa_Northern,biomass,2085,1.46382
1975$/GJ,Reference,Africa_Northern,biomass,2090,1.46165
1975$/GJ,Reference,Africa_Northern,biomass,2095,1.46108
1975$/GJ,Reference,Africa_Northern,biomass,2100,1.45925
1975$/GJ,Reference,Africa_Southern,biomass,1975,1
1975$/GJ,Reference,Africa_Southern,biomass,1990,1.77343
1975$/GJ,Reference,Africa_Southern,biomass,2005,1.65129
1975$/GJ,Reference,Africa_Southern,biomass,2010,1.85732
1975$/GJ,Reference,Africa_Southern,biomass,2015,1.96323
1975$/GJ,Reference,Africa_Southern,biomass,2020,1.91756
1975$/GJ,Reference,Africa_Southern,biomass,2025,1.36074
1975$/GJ,Reference,Africa_Southern,biomass,2030,1.29713
1975$/GJ,Reference,Africa_Southern,biomass,2035,1.26448
1975$/GJ,Reference,Africa_Southern,biomass,2040,1.31437
1975$/GJ,Reference,Africa_Southern,biomass,2045,1.37446
1975$/GJ,Reference,Africa_Southern,biomass,2050,1.42335
1975$/GJ,Reference,Africa_Southern,biomass,2055,1.47543
1975$/GJ,Reference,Africa_Southern,biomass,2060,1.51135
1975$/GJ,Reference,Africa_Southern,biomass,2065,1.54357
1975$/GJ,Reference,Africa_Southern,biomass,2070,1.55996
1975$/GJ,Reference,Africa_Southern,biomass,2075,1.56433
1975$/GJ,Reference,Africa_Southern,biomass,2080,1.55904
1975$/GJ,Reference,Africa_Southern,biomass,2085,1.54514
1975$/GJ,Reference,Africa_Southern,biomass,2090,1.52473
1975$/GJ,Reference,Africa_Southern,biomass,2095,1.50201
1975$/GJ,Reference,Africa_Southern,biomass,2100,1.48533
1975$/GJ,Reference,Africa_Western,biomass,1975,1
1975$/GJ,Reference,Africa_Western,biomass,1990,1.17624
