Units,scenario,region,sector,year,value
1975$/GJ,Scenario 3 APC2 CT 10_5,Africa_Eastern,biomass,1975,1
1975$/GJ,Scenario 3 APC2 CT 10_5,Africa_Eastern,biomass,1990,1.46884
1975$/GJ,Scenario 3 APC2 CT 10_5,Africa_Eastern,biomass,2005,1.64937
1975$/GJ,Scenario 3 APC2 CT 10_5,Africa_Eastern,biomass,2010,1.63637
1975$/GJ,Scenario 3 APC2 CT 10_5,Africa_Eastern,biomass,2015,1.68128
1975$/GJ,Scenario 3 APC2 CT 10_5,Africa_Eastern,biomass,2020,1.61883
1975$/GJ,Scenario 3 APC2 CT 10_5,Africa_Eastern,biomass,2025,1.37608
1975$/GJ,Scenario 3 APC2 CT 10_5,Africa_Eastern,biomass,2030,1.35732
1975$/GJ,Scenario 3 APC2 CT 10_5,Africa_Eastern,biomass,2035,1.35913
1975$/GJ,Scenario 3 APC2 CT 10_5,Africa_Eastern,biomass,2040,1.42532
1975$/GJ,Scenario 3 APC2 CT 10_5,Africa_Eastern,biomass,2045,1.49785
1975$/GJ,Scenario 3 APC2 CT 10_5,Africa_Eastern,biomass,2050,1.59231
1975$/GJ,Scenario 3 APC2 CT 10_5,Africa_Eastern,biomass,2055,1.72521
1975$/GJ,Scenario 3 APC2 CT 10_5,Africa_Eastern,biomass,2060,1.83506
1975$/GJ,Scenario 3 APC2 CT 10_5,Africa_Eastern,biomass,2065,1.9458
1975$/GJ,Scenario 3 APC2 CT 10_5,Africa_Eastern,biomass,2070,2.04966
1975$/GJ,Scenario 3 APC2 CT 10_5,Africa_Eastern,biomass,2075,2.1781
1975$/GJ,Scenario 3 APC2 CT 10_5,Africa_Eastern,biomass,2080,2.33289
1975$/GJ,Scenario 3 APC2 CT 10_5,Africa_Eastern,biomass,2085,2.542
1975$/GJ,Scenario 3 APC2 CT 10_5,Africa_Eastern,biomass,2090,2.84768
1975$/GJ,Scenario 3 APC2 CT 10_5,Africa_Eastern,biomass,2095,3.34162
1975$/GJ,Scenario 3 APC2 CT 10_5,Africa_Eastern,biomass,2100,4.04103
1975$/GJ,Scenario 3 APC2 CT 10_5,Africa_Northern,biomass,1975,1
1975$/GJ,Scenario 3 APC2 CT 10_5,Africa_Northern,biomass,1990,0.921767
1975$/GJ,Scenario 3 APC2 CT 10_5,Africa_Northern,biomass,2005,0.954097
1975$/GJ,Scenario 3 APC2 CT 10_5,Africa_Northern,biomass,2010,1.04124
1975$/GJ,Scenario 3 APC2 CT 10_5,Africa_Northern,biomass,2015,1.08741
1975$/GJ,Scenario 3 APC2 CT 10_5,Africa_Northern,biomass,2020,1.09176
1975$/GJ,Scenario 3 APC2 CT 10_5,Africa_Northern,biomass,2025,1.0585
1975$/GJ,Scenario 3 APC2 CT 10_5,Africa_Northern,biomass,2030,1.10177
1975$/GJ,Scenario 3 APC2 CT 10_5,Africa_Northern,biomass,2035,1.14421
1975$/GJ,Scenario 3 APC2 CT 10_5,Africa_Northern,biomass,2040,1.22655
1975$/GJ,Scenario 3 APC2 CT 10_5,Africa_Northern,biomass,2045,1.29954
1975$/GJ,Scenario 3 APC2 CT 10_5,Africa_Northern,biomass,2050,1.36709
1975$/GJ,Scenario 3 APC2 CT 10_5,Africa_Northern,biomass,2055,1.42844
1975$/GJ,Scenario 3 APC2 CT 10_5,Africa_Northern,biomass,2060,1.47838
1975$/GJ,Scenario 3 APC2 CT 10_5,Africa_Northern,biomass,2065,1.54724
1975$/GJ,Scenario 3 APC2 CT 10_5,Africa_Northern,biomass,2070,1.62148
1975$/GJ,Scenario 3 APC2 CT 10_5,Africa_Northern,biomass,2075,1.72496
1975$/GJ,Scenario 3 APC2 CT 10_5,Africa_Northern,biomass,2080,1.87103
1975$/GJ,Scenario 3 APC2 CT 10_5,Africa_Northern,biomass,2085,2.07617
1975$/GJ,Scenario 3 APC2 CT 10_5,Africa_Northern,biomass,2090,2.39572
1975$/GJ,Scenario 3 APC2 CT 10_5,Africa_Northern,biomass,2095,2.90415
1975$/GJ,Scenario 3 APC2 CT 10_5,Africa_Northern,biomass,2100,3.61468
1975$/GJ,Scenario 3 APC2 CT 10_5,Africa_Southern,biomass,1975,1
1975$/GJ,Scenario 3 APC2 CT 10_5,Africa_Southern,biomass,1990,1.77343
1975$/GJ,Scenario 3 APC2 CT 10_5,Africa_Southern,biomass,2005,1.65129
1975$/GJ,Scenario 3 APC2 CT 10_5,Africa_Southern,biomass,2010,1.85732
1975$/GJ,Scenario 3 APC2 CT 10_5,Africa_Southern,biomass,2015,1.96323
1975$/GJ,Scenario 3 APC2 CT 10_5,Africa_Southern,biomass,2020,1.83866
1975$/GJ,Scenario 3 APC2 CT 10_5,Africa_Southern,biomass,2025,1.43741
1975$/GJ,Scenario 3 APC2 CT 10_5,Africa_Southern,biomass,2030,1.38268
1975$/GJ,Scenario 3 APC2 CT 10_5,Africa_Southern,biomass,2035,1.36033
1975$/GJ,Scenario 3 APC2 CT 10_5,Africa_Southern,biomass,2040,1.40966
1975$/GJ,Scenario 3 APC2 CT 10_5,Africa_Southern,biomass,2045,1.47343
1975$/GJ,Scenario 3 APC2 CT 10_5,Africa_Southern,biomass,2050,1.54843
1975$/GJ,Scenario 3 APC2 CT 10_5,Africa_Southern,biomass,2055,1.66565
1975$/GJ,Scenario 3 APC2 CT 10_5,Africa_Southern,biomass,2060,1.76387
1975$/GJ,Scenario 3 APC2 CT 10_5,Africa_Southern,biomass,2065,1.86632
1975$/GJ,Scenario 3 APC2 CT 10_5,Africa_Southern,biomass,2070,1.96466
1975$/GJ,Scenario 3 APC2 CT 10_5,Africa_Southern,biomass,2075,2.08974
1975$/GJ,Scenario 3 APC2 CT 10_5,Africa_Southern,biomass,2080,2.24688
1975$/GJ,Scenario 3 APC2 CT 10_5,Africa_Southern,biomass,2085,2.45133
1975$/GJ,Scenario 3 APC2 CT 10_5,Africa_Southern,biomass,2090,2.74966
1975$/GJ,Scenario 3 APC2 CT 10_5,Africa_Southern,biomass,2095,3.23206
1975$/GJ,Scenario 3 APC2 CT 10_5,Africa_Southern,biomass,2100,3.9189600000000002
