Units,scenario,region,sector,year,value
1975$/GJ,Scenario 1,Africa_Eastern,biomass,1975,1
1975$/GJ,Scenario 1,Africa_Eastern,biomass,1990,1.46884
1975$/GJ,Scenario 1,Africa_Eastern,biomass,2005,1.64937
1975$/GJ,Scenario 1,Africa_Eastern,biomass,2010,1.63637
1975$/GJ,Scenario 1,Africa_Eastern,biomass,2015,1.68128
1975$/GJ,Scenario 1,Africa_Eastern,biomass,2020,1.68088
1975$/GJ,Scenario 1,Africa_Eastern,biomass,2025,1.41948
1975$/GJ,Scenario 1,Africa_Eastern,biomass,2030,1.42514
1975$/GJ,Scenario 1,Africa_Eastern,biomass,2035,1.44244
1975$/GJ,Scenario 1,Africa_Eastern,biomass,2040,1.52759
1975$/GJ,Scenario 1,Africa_Eastern,biomass,2045,1.65766
1975$/GJ,Scenario 1,Africa_Eastern,biomass,2050,1.76273
1975$/GJ,Scenario 1,Africa_Eastern,biomass,2055,1.89089
1975$/GJ,Scenario 1,Africa_Eastern,biomass,2060,1.98022
1975$/GJ,Scenario 1,Africa_Eastern,biomass,2065,2.04754
1975$/GJ,Scenario 1,Africa_Eastern,biomass,2070,2.08572
1975$/GJ,Scenario 1,Africa_Eastern,biomass,2075,2.10306
1975$/GJ,Scenario 1,Africa_Eastern,biomass,2080,2.10623
1975$/GJ,Scenario 1,Africa_Eastern,biomass,2085,2.09731
1975$/GJ,Scenario 1,Africa_Eastern,biomass,2090,2.0832
1975$/GJ,Scenario 1,Africa_Eastern,biomass,2095,2.06918
1975$/GJ,Scenario 1,Africa_Eastern,biomass,2100,2.04898
1975$/GJ,Scenario 1,Africa_Northern,biomass,1975,1
1975$/GJ,Scenario 1,Africa_Northern,biomass,1990,0.921767
1975$/GJ,Scenario 1,Africa_Northern,biomass,2005,0.954096
1975$/GJ,Scenario 1,Africa_Northern,biomass,2010,1.04123
1975$/GJ,Scenario 1,Africa_Northern,biomass,2015,1.08741
1975$/GJ,Scenario 1,Africa_Northern,biomass,2020,1.10038
1975$/GJ,Scenario 1,Africa_Northern,biomass,2025,1.07795
1975$/GJ,Scenario 1,Africa_Northern,biomass,2030,1.13133
1975$/GJ,Scenario 1,Africa_Northern,biomass,2035,1.17689
1975$/GJ,Scenario 1,Africa_Northern,biomass,2040,1.25077
1975$/GJ,Scenario 1,Africa_Northern,biomass,2045,1.32527
1975$/GJ,Scenario 1,Africa_Northern,biomass,2050,1.38771
1975$/GJ,Scenario 1,Africa_Northern,biomass,2055,1.43476
1975$/GJ,Scenario 1,Africa_Northern,biomass,2060,1.46401
1975$/GJ,Scenario 1,Africa_Northern,biomass,2065,1.48668
1975$/GJ,Scenario 1,Africa_Northern,biomass,2070,1.49682
1975$/GJ,Scenario 1,Africa_Northern,biomass,2075,1.50203
1975$/GJ,Scenario 1,Africa_Northern,biomass,2080,1.50323
1975$/GJ,Scenario 1,Africa_Northern,biomass,2085,1.50112
1975$/GJ,Scenario 1,Africa_Northern,biomass,2090,1.4976
1975$/GJ,Scenario 1,Africa_Northern,biomass,2095,1.49464
1975$/GJ,Scenario 1,Africa_Northern,biomass,2100,1.48905
1975$/GJ,Scenario 1,Africa_Southern,biomass,1975,1
1975$/GJ,Scenario 1,Africa_Southern,biomass,1990,1.77343
1975$/GJ,Scenario 1,Africa_Southern,biomass,2005,1.65129
1975$/GJ,Scenario 1,Africa_Southern,biomass,2010,1.85732
1975$/GJ,Scenario 1,Africa_Southern,biomass,2015,1.96323
1975$/GJ,Scenario 1,Africa_Southern,biomass,2020,1.91688
1975$/GJ,Scenario 1,Africa_Southern,biomass,2025,1.43269
1975$/GJ,Scenario 1,Africa_Southern,biomass,2030,1.3793
1975$/GJ,Scenario 1,Africa_Southern,biomass,2035,1.35427
1975$/GJ,Scenario 1,Africa_Southern,biomass,2040,1.40948
1975$/GJ,Scenario 1,Africa_Southern,biomass,2045,1.47827
1975$/GJ,Scenario 1,Africa_Southern,biomass,2050,1.54333
1975$/GJ,Scenario 1,Africa_Southern,biomass,2055,1.62314
1975$/GJ,Scenario 1,Africa_Southern,biomass,2060,1.6778
1975$/GJ,Scenario 1,Africa_Southern,biomass,2065,1.71941
1975$/GJ,Scenario 1,Africa_Southern,biomass,2070,1.74164
1975$/GJ,Scenario 1,Africa_Southern,biomass,2075,1.74879
