Units,scenario,region,sector,year,value
1975$/GJ,Scenario 1,Africa_Eastern,biomass,1975,1
1975$/GJ,Scenario 1,Africa_Eastern,biomass,1990,1.46884
1975$/GJ,Scenario 1,Africa_Eastern,biomass,2005,1.64937
1975$/GJ,Scenario 1,Africa_Eastern,biomass,2010,1.63637
1975$/GJ,Scenario 1,Africa_Eastern,biomass,2015,1.68128
1975$/GJ,Scenario 1,Africa_Eastern,biomass,2020,1.68088
1975$/GJ,Scenario 1,Africa_Eastern,biomass,2025,1.43438
1975$/GJ,Scenario 1,Africa_Eastern,biomass,2030,1.43657
1975$/GJ,Scenario 1,Africa_Eastern,biomass,2035,1.45208
1975$/GJ,Scenario 1,Africa_Eastern,biomass,2040,1.54268
1975$/GJ,Scenario 1,Africa_Eastern,biomass,2045,1.66862
1975$/GJ,Scenario 1,Africa_Eastern,biomass,2050,1.77114
1975$/GJ,Scenario 1,Africa_Eastern,biomass,2055,1.89834
1975$/GJ,Scenario 1,Africa_Eastern,biomass,2060,1.98937
1975$/GJ,Scenario 1,Africa_Eastern,biomass,2065,2.05822
1975$/GJ,Scenario 1,Africa_Eastern,biomass,2070,2.09718
1975$/GJ,Scenario 1,Africa_Eastern,biomass,2075,2.11515
1975$/GJ,Scenario 1,Africa_Eastern,biomass,2080,2.1169
1975$/GJ,Scenario 1,Africa_Eastern,biomass,2085,2.10567
1975$/GJ,Scenario 1,Africa_Eastern,biomass,2090,2.08929
1975$/GJ,Scenario 1,Africa_Eastern,biomass,2095,2.07316
1975$/GJ,Scenario 1,Africa_Eastern,biomass,2100,2.05082
1975$/GJ,Scenario 1,Africa_Northern,biomass,1975,1
1975$/GJ,Scenario 1,Africa_Northern,biomass,1990,0.921767
1975$/GJ,Scenario 1,Africa_Northern,biomass,2005,0.954096
1975$/GJ,Scenario 1,Africa_Northern,biomass,2010,1.04123
1975$/GJ,Scenario 1,Africa_Northern,biomass,2015,1.08741
1975$/GJ,Scenario 1,Africa_Northern,biomass,2020,1.10038
1975$/GJ,Scenario 1,Africa_Northern,biomass,2025,1.08482
1975$/GJ,Scenario 1,Africa_Northern,biomass,2030,1.13777
1975$/GJ,Scenario 1,Africa_Northern,biomass,2035,1.18181
1975$/GJ,Scenario 1,Africa_Northern,biomass,2040,1.25383
1975$/GJ,Scenario 1,Africa_Northern,biomass,2045,1.32682
1975$/GJ,Scenario 1,Africa_Northern,biomass,2050,1.38745
1975$/GJ,Scenario 1,Africa_Northern,biomass,2055,1.43271
1975$/GJ,Scenario 1,Africa_Northern,biomass,2060,1.46223
1975$/GJ,Scenario 1,Africa_Northern,biomass,2065,1.48522
1975$/GJ,Scenario 1,Africa_Northern,biomass,2070,1.49552
1975$/GJ,Scenario 1,Africa_Northern,biomass,2075,1.49996
1975$/GJ,Scenario 1,Africa_Northern,biomass,2080,1.50056
1975$/GJ,Scenario 1,Africa_Northern,biomass,2085,1.49817
1975$/GJ,Scenario 1,Africa_Northern,biomass,2090,1.49445
1975$/GJ,Scenario 1,Africa_Northern,biomass,2095,1.49091
1975$/GJ,Scenario 1,Africa_Northern,biomass,2100,1.4847
1975$/GJ,Scenario 1,Africa_Southern,biomass,1975,1
1975$/GJ,Scenario 1,Africa_Southern,biomass,1990,1.77343
1975$/GJ,Scenario 1,Africa_Southern,biomass,2005,1.65129
1975$/GJ,Scenario 1,Africa_Southern,biomass,2010,1.85732
1975$/GJ,Scenario 1,Africa_Southern,biomass,2015,1.96323
1975$/GJ,Scenario 1,Africa_Southern,biomass,2020,1.91688
1975$/GJ,Scenario 1,Africa_Southern,biomass,2025,1.40434
1975$/GJ,Scenario 1,Africa_Southern,biomass,2030,1.34552
1975$/GJ,Scenario 1,Africa_Southern,biomass,2035,1.31625
1975$/GJ,Scenario 1,Africa_Southern,biomass,2040,1.37017
1975$/GJ,Scenario 1,Africa_Southern,biomass,2045,1.43571
1975$/GJ,Scenario 1,Africa_Southern,biomass,2050,1.48947
1975$/GJ,Scenario 1,Africa_Southern,biomass,2055,1.55884
1975$/GJ,Scenario 1,Africa_Southern,biomass,2060,1.60913
1975$/GJ,Scenario 1,Africa_Southern,biomass,2065,1.64728
1975$/GJ,Scenario 1,Africa_Southern,biomass,2070,1.66716
1975$/GJ,Scenario 1,Africa_Southern,biomass,2075,1.67294
