"Units","scenario","region","gcam-consumer","nodeinput","input","year","value","sce"
"Pcal/yr","Reference","Africa_Eastern","FoodDemand","FoodDemand","FoodDemand_NonStaples",1975,22.9467,"1. Agroforestry default"
"Pcal/yr","Reference","Africa_Eastern","FoodDemand","FoodDemand","FoodDemand_NonStaples",1990,34.2103,"1. Agroforestry default"
"Pcal/yr","Reference","Africa_Eastern","FoodDemand","FoodDemand","FoodDemand_NonStaples",2005,57.9168,"1. Agroforestry default"
"Pcal/yr","Reference","Africa_Eastern","FoodDemand","FoodDemand","FoodDemand_NonStaples",2010,75.6817,"1. Agroforestry default"
"Pcal/yr","Reference","Africa_Eastern","FoodDemand","FoodDemand","FoodDemand_NonStaples",2015,81.7832,"1. Agroforestry default"
"Pcal/yr","Reference","Africa_Eastern","FoodDemand","FoodDemand","FoodDemand_NonStaples",2020,94.8816,"1. Agroforestry default"
"Pcal/yr","Reference","Africa_Eastern","FoodDemand","FoodDemand","FoodDemand_NonStaples",2025,112.321,"1. Agroforestry default"
"Pcal/yr","Reference","Africa_Eastern","FoodDemand","FoodDemand","FoodDemand_NonStaples",2030,134.842,"1. Agroforestry default"
"Pcal/yr","Reference","Africa_Eastern","FoodDemand","FoodDemand","FoodDemand_NonStaples",2035,160.08,"1. Agroforestry default"
"Pcal/yr","Reference","Africa_Eastern","FoodDemand","FoodDemand","FoodDemand_NonStaples",2040,188.877,"1. Agroforestry default"
"Pcal/yr","Reference","Africa_Eastern","FoodDemand","FoodDemand","FoodDemand_NonStaples",2045,220.968,"1. Agroforestry default"
"Pcal/yr","Reference","Africa_Eastern","FoodDemand","FoodDemand","FoodDemand_NonStaples",2050,255.89,"1. Agroforestry default"
"Pcal/yr","Reference","Africa_Eastern","FoodDemand","FoodDemand","FoodDemand_NonStaples",2055,292.405,"1. Agroforestry default"
"Pcal/yr","Reference","Africa_Eastern","FoodDemand","FoodDemand","FoodDemand_NonStaples",2060,330.437,"1. Agroforestry default"
"Pcal/yr","Reference","Africa_Eastern","FoodDemand","FoodDemand","FoodDemand_NonStaples",2065,369.103,"1. Agroforestry default"
"Pcal/yr","Reference","Africa_Eastern","FoodDemand","FoodDemand","FoodDemand_NonStaples",2070,407.533,"1. Agroforestry default"
"Pcal/yr","Reference","Africa_Eastern","FoodDemand","FoodDemand","FoodDemand_NonStaples",2075,444.781,"1. Agroforestry default"
"Pcal/yr","Reference","Africa_Eastern","FoodDemand","FoodDemand","FoodDemand_NonStaples",2080,479.883,"1. Agroforestry default"
"Pcal/yr","Reference","Africa_Eastern","FoodDemand","FoodDemand","FoodDemand_NonStaples",2085,512.233,"1. Agroforestry default"
"Pcal/yr","Reference","Africa_Eastern","FoodDemand","FoodDemand","FoodDemand_NonStaples",2090,541.355,"1. Agroforestry default"
"Pcal/yr","Reference","Africa_Eastern","FoodDemand","FoodDemand","FoodDemand_NonStaples",2095,567.117,"1. Agroforestry default"
"Pcal/yr","Reference","Africa_Eastern","FoodDemand","FoodDemand","FoodDemand_NonStaples",2100,589.329,"1. Agroforestry default"
"Pcal/yr","Reference","Africa_Eastern","FoodDemand","FoodDemand","FoodDemand_Staples",1975,44.1407,"1. Agroforestry default"
"Pcal/yr","Reference","Africa_Eastern","FoodDemand","FoodDemand","FoodDemand_Staples",1990,67.2717,"1. Agroforestry default"
"Pcal/yr","Reference","Africa_Eastern","FoodDemand","FoodDemand","FoodDemand_Staples",2005,105.843,"1. Agroforestry default"
"Pcal/yr","Reference","Africa_Eastern","FoodDemand","FoodDemand","FoodDemand_Staples",2010,123.895,"1. Agroforestry default"
"Pcal/yr","Reference","Africa_Eastern","FoodDemand","FoodDemand","FoodDemand_Staples",2015,149.012,"1. Agroforestry default"
"Pcal/yr","Reference","Africa_Eastern","FoodDemand","FoodDemand","FoodDemand_Staples",2020,165.998,"1. Agroforestry default"
"Pcal/yr","Reference","Africa_Eastern","FoodDemand","FoodDemand","FoodDemand_Staples",2025,181.796,"1. Agroforestry default"
"Pcal/yr","Reference","Africa_Eastern","FoodDemand","FoodDemand","FoodDemand_Staples",2030,195.079,"1. Agroforestry default"
"Pcal/yr","Reference","Africa_Eastern","FoodDemand","FoodDemand","FoodDemand_Staples",2035,206.599,"1. Agroforestry default"
"Pcal/yr","Reference","Africa_Eastern","FoodDemand","FoodDemand","FoodDemand_Staples",2040,216.113,"1. Agroforestry default"
"Pcal/yr","Reference","Africa_Eastern","FoodDemand","FoodDemand","FoodDemand_Staples",2045,223.849,"1. Agroforestry default"
"Pcal/yr","Reference","Africa_Eastern","FoodDemand","FoodDemand","FoodDemand_Staples",2050,230.082,"1. Agroforestry default"
"Pcal/yr","Reference","Africa_Eastern","FoodDemand","FoodDemand","FoodDemand_Staples",2055,235.158,"1. Agroforestry default"
"Pcal/yr","Reference","Africa_Eastern","FoodDemand","FoodDemand","FoodDemand_Staples",2060,239.256,"1. Agroforestry default"
"Pcal/yr","Reference","Africa_Eastern","FoodDemand","FoodDemand","FoodDemand_Staples",2065,242.612,"1. Agroforestry default"
"Pcal/yr","Reference","Africa_Eastern","FoodDemand","FoodDemand","FoodDemand_Staples",2070,245.383,"1. Agroforestry default"
"Pcal/yr","Reference","Africa_Eastern","FoodDemand","FoodDemand","FoodDemand_Staples",2075,247.638,"1. Agroforestry default"
"Pcal/yr","Reference","Africa_Eastern","FoodDemand","FoodDemand","FoodDemand_Staples",2080,249.295,"1. Agroforestry default"
"Pcal/yr","Reference","Africa_Eastern","FoodDemand","FoodDemand","FoodDemand_Staples",2085,250.34,"1. Agroforestry default"
"Pcal/yr","Reference","Africa_Eastern","FoodDemand","FoodDemand","FoodDemand_Staples",2090,250.735,"1. Agroforestry default"
"Pcal/yr","Reference","Africa_Eastern","FoodDemand","FoodDemand","FoodDemand_Staples",2095,250.583,"1. Agroforestry default"
"Pcal/yr","Reference","Africa_Eastern","FoodDemand","FoodDemand","FoodDemand_Staples",2100,249.876,"1. Agroforestry default"
"Pcal/yr","Reference","Africa_Northern","FoodDemand","FoodDemand","FoodDemand_NonStaples",1975,16.286,"1. Agroforestry default"
