Units,scenario,region,gcam-consumer,nodeinput,input,year,value
Pcal/yr,Lower Meat Demand,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_NonStaples,1975,22.9467
Pcal/yr,Lower Meat Demand,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_NonStaples,1990,34.2103
Pcal/yr,Lower Meat Demand,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2005,57.9168
Pcal/yr,Lower Meat Demand,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2010,75.6817
Pcal/yr,Lower Meat Demand,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2015,81.7832
Pcal/yr,Lower Meat Demand,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2020,95.2598
Pcal/yr,Lower Meat Demand,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2025,112.3
Pcal/yr,Lower Meat Demand,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2030,134.639
Pcal/yr,Lower Meat Demand,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2035,159.708
Pcal/yr,Lower Meat Demand,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2040,188.361
Pcal/yr,Lower Meat Demand,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2045,220.389
Pcal/yr,Lower Meat Demand,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2050,255.272
Pcal/yr,Lower Meat Demand,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2055,292.078
Pcal/yr,Lower Meat Demand,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2060,330.451
Pcal/yr,Lower Meat Demand,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2065,369.5
Pcal/yr,Lower Meat Demand,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2070,408.325
Pcal/yr,Lower Meat Demand,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2075,445.963
Pcal/yr,Lower Meat Demand,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2080,481.441
Pcal/yr,Lower Meat Demand,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2085,514.149
Pcal/yr,Lower Meat Demand,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2090,543.6
Pcal/yr,Lower Meat Demand,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2095,569.652
Pcal/yr,Lower Meat Demand,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2100,592.092
Pcal/yr,Lower Meat Demand,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_Staples,1975,44.1407
Pcal/yr,Lower Meat Demand,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_Staples,1990,67.2717
Pcal/yr,Lower Meat Demand,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_Staples,2005,105.843
Pcal/yr,Lower Meat Demand,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_Staples,2010,123.895
Pcal/yr,Lower Meat Demand,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_Staples,2015,149.012
Pcal/yr,Lower Meat Demand,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_Staples,2020,165.957
Pcal/yr,Lower Meat Demand,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_Staples,2025,181.791
Pcal/yr,Lower Meat Demand,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_Staples,2030,195.101
Pcal/yr,Lower Meat Demand,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_Staples,2035,206.647
Pcal/yr,Lower Meat Demand,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_Staples,2040,216.174
Pcal/yr,Lower Meat Demand,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_Staples,2045,223.909
Pcal/yr,Lower Meat Demand,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_Staples,2050,230.133
Pcal/yr,Lower Meat Demand,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_Staples,2055,235.177
