Units,scenario,region,gcam-consumer,nodeinput,input,year,value
Pcal/yr,Reference,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_NonStaples,1975,22.9467
Pcal/yr,Reference,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_NonStaples,1990,34.2103
Pcal/yr,Reference,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2005,57.9168
Pcal/yr,Reference,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2010,75.6817
Pcal/yr,Reference,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2015,81.7832
Pcal/yr,Reference,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2020,94.8265
Pcal/yr,Reference,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2025,111.359
Pcal/yr,Reference,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2030,133.204
Pcal/yr,Reference,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2035,157.748
Pcal/yr,Reference,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2040,185.801
Pcal/yr,Reference,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2045,217.154
Pcal/yr,Reference,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2050,251.319
Pcal/yr,Reference,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2055,287.447
Pcal/yr,Reference,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2060,325.125
Pcal/yr,Reference,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2065,363.551
Pcal/yr,Reference,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2070,401.822
Pcal/yr,Reference,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2075,438.963
Pcal/yr,Reference,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2080,473.995
Pcal/yr,Reference,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2085,506.303
Pcal/yr,Reference,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2090,535.402
Pcal/yr,Reference,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2095,561.164
Pcal/yr,Reference,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2100,583.377
Pcal/yr,Reference,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_Staples,1975,44.1407
Pcal/yr,Reference,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_Staples,1990,67.2717
Pcal/yr,Reference,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_Staples,2005,105.843
Pcal/yr,Reference,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_Staples,2010,123.895
Pcal/yr,Reference,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_Staples,2015,149.012
Pcal/yr,Reference,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_Staples,2020,166.004
Pcal/yr,Reference,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_Staples,2025,181.926
Pcal/yr,Reference,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_Staples,2030,195.335
Pcal/yr,Reference,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_Staples,2035,206.957
Pcal/yr,Reference,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_Staples,2040,216.536
Pcal/yr,Reference,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_Staples,2045,224.291
Pcal/yr,Reference,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_Staples,2050,230.507
Pcal/yr,Reference,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_Staples,2055,235.519
Pcal/yr,Reference,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_Staples,2060,239.545
Pcal/yr,Reference,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_Staples,2065,242.83
Pcal/yr,Reference,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_Staples,2070,245.536
Pcal/yr,Reference,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_Staples,2075,247.736
Pcal/yr,Reference,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_Staples,2080,249.348
Pcal/yr,Reference,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_Staples,2085,250.359
Pcal/yr,Reference,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_Staples,2090,250.727
Pcal/yr,Reference,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_Staples,2095,250.555
Pcal/yr,Reference,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_Staples,2100,249.832
Pcal/yr,Reference,Africa_Northern,FoodDemand,FoodDemand,FoodDemand_NonStaples,1975,16.286
Pcal/yr,Reference,Africa_Northern,FoodDemand,FoodDemand,FoodDemand_NonStaples,1990,30.7199
Pcal/yr,Reference,Africa_Northern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2005,51.3505
Pcal/yr,Reference,Africa_Northern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2010,66.7648
Pcal/yr,Reference,Africa_Northern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2015,80.7423
Pcal/yr,Reference,Africa_Northern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2020,92.0595
Pcal/yr,Reference,Africa_Northern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2025,103.204
Pcal/yr,Reference,Africa_Northern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2030,116.108
Pcal/yr,Reference,Africa_Northern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2035,128.269
Pcal/yr,Reference,Africa_Northern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2040,139.807
Pcal/yr,Reference,Africa_Northern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2045,150.583
Pcal/yr,Reference,Africa_Northern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2050,160.34
Pcal/yr,Reference,Africa_Northern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2055,169.08
Pcal/yr,Reference,Africa_Northern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2060,176.809
Pcal/yr,Reference,Africa_Northern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2065,183.473
Pcal/yr,Reference,Africa_Northern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2070,188.88
Pcal/yr,Reference,Africa_Northern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2075,193.073
Pcal/yr,Reference,Africa_Northern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2080,196.283
Pcal/yr,Reference,Africa_Northern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2085,198.673
Pcal/yr,Reference,Africa_Northern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2090,200.404
Pcal/yr,Reference,Africa_Northern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2095,201.463
Pcal/yr,Reference,Africa_Northern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2100,201.93
Pcal/yr,Reference,Africa_Northern,FoodDemand,FoodDemand,FoodDemand_Staples,1975,54.5705
Pcal/yr,Reference,Africa_Northern,FoodDemand,FoodDemand,FoodDemand_Staples,1990,98.0733
Pcal/yr,Reference,Africa_Northern,FoodDemand,FoodDemand,FoodDemand_Staples,2005,128.911
Pcal/yr,Reference,Africa_Northern,FoodDemand,FoodDemand,FoodDemand_Staples,2010,132.977
Pcal/yr,Reference,Africa_Northern,FoodDemand,FoodDemand,FoodDemand_Staples,2015,138.846
Pcal/yr,Reference,Africa_Northern,FoodDemand,FoodDemand,FoodDemand_Staples,2020,146.316
Pcal/yr,Reference,Africa_Northern,FoodDemand,FoodDemand,FoodDemand_Staples,2025,152.942
Pcal/yr,Reference,Africa_Northern,FoodDemand,FoodDemand,FoodDemand_Staples,2030,158.269
Pcal/yr,Reference,Africa_Northern,FoodDemand,FoodDemand,FoodDemand_Staples,2035,162.981
Pcal/yr,Reference,Africa_Northern,FoodDemand,FoodDemand,FoodDemand_Staples,2040,167.141
Pcal/yr,Reference,Africa_Northern,FoodDemand,FoodDemand,FoodDemand_Staples,2045,170.667
Pcal/yr,Reference,Africa_Northern,FoodDemand,FoodDemand,FoodDemand_Staples,2050,173.323
Pcal/yr,Reference,Africa_Northern,FoodDemand,FoodDemand,FoodDemand_Staples,2055,175.112
Pcal/yr,Reference,Africa_Northern,FoodDemand,FoodDemand,FoodDemand_Staples,2060,176.043
Pcal/yr,Reference,Africa_Northern,FoodDemand,FoodDemand,FoodDemand_Staples,2065,176.236
Pcal/yr,Reference,Africa_Northern,FoodDemand,FoodDemand,FoodDemand_Staples,2070,175.721
Pcal/yr,Reference,Africa_Northern,FoodDemand,FoodDemand,FoodDemand_Staples,2075,174.604
Pcal/yr,Reference,Africa_Northern,FoodDemand,FoodDemand,FoodDemand_Staples,2080,173.085
