Units,scenario,region,gcam-consumer,nodeinput,input,year,value
Pcal/yr,Scenario 3 APC2 CT 10_5,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_NonStaples,1975,22.9467
Pcal/yr,Scenario 3 APC2 CT 10_5,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_NonStaples,1990,34.2103
Pcal/yr,Scenario 3 APC2 CT 10_5,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2005,57.9168
Pcal/yr,Scenario 3 APC2 CT 10_5,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2010,75.6817
Pcal/yr,Scenario 3 APC2 CT 10_5,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2015,81.7832
Pcal/yr,Scenario 3 APC2 CT 10_5,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2020,95.2475
Pcal/yr,Scenario 3 APC2 CT 10_5,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2025,109.396
Pcal/yr,Scenario 3 APC2 CT 10_5,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2030,131.014
Pcal/yr,Scenario 3 APC2 CT 10_5,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2035,155.33
Pcal/yr,Scenario 3 APC2 CT 10_5,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2040,183.329
Pcal/yr,Scenario 3 APC2 CT 10_5,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2045,214.919
Pcal/yr,Scenario 3 APC2 CT 10_5,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2050,249.63
Pcal/yr,Scenario 3 APC2 CT 10_5,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2055,286.246
Pcal/yr,Scenario 3 APC2 CT 10_5,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2060,324.394
Pcal/yr,Scenario 3 APC2 CT 10_5,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2065,363.121
Pcal/yr,Scenario 3 APC2 CT 10_5,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2070,401.36
Pcal/yr,Scenario 3 APC2 CT 10_5,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2075,438.044
Pcal/yr,Scenario 3 APC2 CT 10_5,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2080,472.225
Pcal/yr,Scenario 3 APC2 CT 10_5,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2085,503.252
Pcal/yr,Scenario 3 APC2 CT 10_5,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2090,530.683
Pcal/yr,Scenario 3 APC2 CT 10_5,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2095,554.376
Pcal/yr,Scenario 3 APC2 CT 10_5,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2100,574.027
Pcal/yr,Scenario 3 APC2 CT 10_5,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_Staples,1975,44.1407
Pcal/yr,Scenario 3 APC2 CT 10_5,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_Staples,1990,67.2717
Pcal/yr,Scenario 3 APC2 CT 10_5,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_Staples,2005,105.843
Pcal/yr,Scenario 3 APC2 CT 10_5,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_Staples,2010,123.895
Pcal/yr,Scenario 3 APC2 CT 10_5,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_Staples,2015,149.012
Pcal/yr,Scenario 3 APC2 CT 10_5,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_Staples,2020,165.959
Pcal/yr,Scenario 3 APC2 CT 10_5,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_Staples,2025,182.206
Pcal/yr,Scenario 3 APC2 CT 10_5,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_Staples,2030,195.694
Pcal/yr,Scenario 3 APC2 CT 10_5,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_Staples,2035,207.351
Pcal/yr,Scenario 3 APC2 CT 10_5,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_Staples,2040,216.902
Pcal/yr,Scenario 3 APC2 CT 10_5,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_Staples,2045,224.573
Pcal/yr,Scenario 3 APC2 CT 10_5,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_Staples,2050,230.679
Pcal/yr,Scenario 3 APC2 CT 10_5,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_Staples,2055,235.614
Pcal/yr,Scenario 3 APC2 CT 10_5,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_Staples,2060,239.588
Pcal/yr,Scenario 3 APC2 CT 10_5,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_Staples,2065,242.847
Pcal/yr,Scenario 3 APC2 CT 10_5,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_Staples,2070,245.549
Pcal/yr,Scenario 3 APC2 CT 10_5,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_Staples,2075,247.753
Pcal/yr,Scenario 3 APC2 CT 10_5,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_Staples,2080,249.369
Pcal/yr,Scenario 3 APC2 CT 10_5,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_Staples,2085,250.377
Pcal/yr,Scenario 3 APC2 CT 10_5,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_Staples,2090,250.733
Pcal/yr,Scenario 3 APC2 CT 10_5,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_Staples,2095,250.54
Pcal/yr,Scenario 3 APC2 CT 10_5,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_Staples,2100,249.787
Pcal/yr,Scenario 3 APC2 CT 10_5,Africa_Northern,FoodDemand,FoodDemand,FoodDemand_NonStaples,1975,16.286
Pcal/yr,Scenario 3 APC2 CT 10_5,Africa_Northern,FoodDemand,FoodDemand,FoodDemand_NonStaples,1990,30.7199
Pcal/yr,Scenario 3 APC2 CT 10_5,Africa_Northern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2005,51.3505
Pcal/yr,Scenario 3 APC2 CT 10_5,Africa_Northern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2010,66.7648
Pcal/yr,Scenario 3 APC2 CT 10_5,Africa_Northern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2015,80.7423
Pcal/yr,Scenario 3 APC2 CT 10_5,Africa_Northern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2020,92.1727
Pcal/yr,Scenario 3 APC2 CT 10_5,Africa_Northern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2025,103.298
Pcal/yr,Scenario 3 APC2 CT 10_5,Africa_Northern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2030,116.323
Pcal/yr,Scenario 3 APC2 CT 10_5,Africa_Northern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2035,128.573
Pcal/yr,Scenario 3 APC2 CT 10_5,Africa_Northern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2040,140.21
