Units,scenario,region,gcam-consumer,nodeinput,input,year,value
Pcal/yr,Scenario 1,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_NonStaples,1975,22.9467
Pcal/yr,Scenario 1,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_NonStaples,1990,34.2103
Pcal/yr,Scenario 1,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2005,57.9168
Pcal/yr,Scenario 1,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2010,75.6817
Pcal/yr,Scenario 1,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2015,81.7832
Pcal/yr,Scenario 1,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2020,94.8648
Pcal/yr,Scenario 1,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2025,106.73
Pcal/yr,Scenario 1,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2030,127.532
Pcal/yr,Scenario 1,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2035,151.056
Pcal/yr,Scenario 1,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2040,178.162
Pcal/yr,Scenario 1,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2045,208.736
Pcal/yr,Scenario 1,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2050,242.443
Pcal/yr,Scenario 1,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2055,278.178
Pcal/yr,Scenario 1,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2060,315.678
Pcal/yr,Scenario 1,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2065,353.996
Pcal/yr,Scenario 1,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2070,392.15
Pcal/yr,Scenario 1,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2075,429.122
Pcal/yr,Scenario 1,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2080,463.913
Pcal/yr,Scenario 1,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2085,495.927
Pcal/yr,Scenario 1,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2090,524.71
Pcal/yr,Scenario 1,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2095,550.157
Pcal/yr,Scenario 1,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2100,572.081
Pcal/yr,Scenario 1,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_Staples,1975,44.1407
Pcal/yr,Scenario 1,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_Staples,1990,67.2717
Pcal/yr,Scenario 1,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_Staples,2005,105.843
Pcal/yr,Scenario 1,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_Staples,2010,123.895
Pcal/yr,Scenario 1,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_Staples,2015,149.012
Pcal/yr,Scenario 1,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_Staples,2020,166
Pcal/yr,Scenario 1,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_Staples,2025,182.648
Pcal/yr,Scenario 1,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_Staples,2030,196.355
Pcal/yr,Scenario 1,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_Staples,2035,208.152
Pcal/yr,Scenario 1,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_Staples,2040,217.779
Pcal/yr,Scenario 1,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_Staples,2045,225.467
Pcal/yr,Scenario 1,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_Staples,2050,231.522
Pcal/yr,Scenario 1,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_Staples,2055,236.364
Pcal/yr,Scenario 1,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_Staples,2060,240.21
Pcal/yr,Scenario 1,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_Staples,2065,243.331
Pcal/yr,Scenario 1,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_Staples,2070,245.9
Pcal/yr,Scenario 1,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_Staples,2075,247.989
Pcal/yr,Scenario 1,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_Staples,2080,249.514
Pcal/yr,Scenario 1,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_Staples,2085,250.455
Pcal/yr,Scenario 1,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_Staples,2090,250.766
Pcal/yr,Scenario 1,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_Staples,2095,250.548
Pcal/yr,Scenario 1,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_Staples,2100,249.789
Pcal/yr,Scenario 1,Africa_Northern,FoodDemand,FoodDemand,FoodDemand_NonStaples,1975,16.286
Pcal/yr,Scenario 1,Africa_Northern,FoodDemand,FoodDemand,FoodDemand_NonStaples,1990,30.7199
Pcal/yr,Scenario 1,Africa_Northern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2005,51.3505
Pcal/yr,Scenario 1,Africa_Northern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2010,66.7648
Pcal/yr,Scenario 1,Africa_Northern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2015,80.7423
Pcal/yr,Scenario 1,Africa_Northern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2020,92.0696
Pcal/yr,Scenario 1,Africa_Northern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2025,103.076
Pcal/yr,Scenario 1,Africa_Northern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2030,115.935
Pcal/yr,Scenario 1,Africa_Northern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2035,128.061
Pcal/yr,Scenario 1,Africa_Northern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2040,139.572
Pcal/yr,Scenario 1,Africa_Northern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2045,150.318
Pcal/yr,Scenario 1,Africa_Northern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2050,160.046
Pcal/yr,Scenario 1,Africa_Northern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2055,168.758
