Units,scenario,region,gcam-consumer,nodeinput,input,year,value
Pcal/yr,Scenario 1,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_NonStaples,1975,22.9467
Pcal/yr,Scenario 1,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_NonStaples,1990,34.2103
Pcal/yr,Scenario 1,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2005,57.9168
Pcal/yr,Scenario 1,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2010,75.6817
Pcal/yr,Scenario 1,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2015,81.7832
Pcal/yr,Scenario 1,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2020,94.8648
Pcal/yr,Scenario 1,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2025,106.985
Pcal/yr,Scenario 1,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2030,127.83
Pcal/yr,Scenario 1,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2035,151.489
Pcal/yr,Scenario 1,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2040,178.83
Pcal/yr,Scenario 1,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2045,209.731
Pcal/yr,Scenario 1,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2050,243.786
Pcal/yr,Scenario 1,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2055,279.832
Pcal/yr,Scenario 1,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2060,317.546
Pcal/yr,Scenario 1,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2065,355.984
Pcal/yr,Scenario 1,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2070,394.149
Pcal/yr,Scenario 1,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2075,431.037
Pcal/yr,Scenario 1,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2080,465.664
Pcal/yr,Scenario 1,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2085,497.496
Pcal/yr,Scenario 1,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2090,526.152
Pcal/yr,Scenario 1,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2095,551.563
Pcal/yr,Scenario 1,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2100,573.517
Pcal/yr,Scenario 1,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_Staples,1975,44.1407
Pcal/yr,Scenario 1,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_Staples,1990,67.2717
Pcal/yr,Scenario 1,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_Staples,2005,105.843
Pcal/yr,Scenario 1,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_Staples,2010,123.895
Pcal/yr,Scenario 1,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_Staples,2015,149.012
Pcal/yr,Scenario 1,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_Staples,2020,166
Pcal/yr,Scenario 1,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_Staples,2025,182.602
Pcal/yr,Scenario 1,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_Staples,2030,196.295
Pcal/yr,Scenario 1,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_Staples,2035,208.068
Pcal/yr,Scenario 1,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_Staples,2040,217.662
Pcal/yr,Scenario 1,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_Staples,2045,225.317
Pcal/yr,Scenario 1,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_Staples,2050,231.357
Pcal/yr,Scenario 1,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_Staples,2055,236.202
Pcal/yr,Scenario 1,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_Staples,2060,240.07
Pcal/yr,Scenario 1,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_Staples,2065,243.22
Pcal/yr,Scenario 1,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_Staples,2070,245.819
Pcal/yr,Scenario 1,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_Staples,2075,247.936
Pcal/yr,Scenario 1,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_Staples,2080,249.483
Pcal/yr,Scenario 1,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_Staples,2085,250.439
Pcal/yr,Scenario 1,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_Staples,2090,250.76
Pcal/yr,Scenario 1,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_Staples,2095,250.549
Pcal/yr,Scenario 1,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_Staples,2100,249.795
Pcal/yr,Scenario 1,Africa_Northern,FoodDemand,FoodDemand,FoodDemand_NonStaples,1975,16.286
Pcal/yr,Scenario 1,Africa_Northern,FoodDemand,FoodDemand,FoodDemand_NonStaples,1990,30.7199
Pcal/yr,Scenario 1,Africa_Northern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2005,51.3505
Pcal/yr,Scenario 1,Africa_Northern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2010,66.7648
Pcal/yr,Scenario 1,Africa_Northern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2015,80.7423
Pcal/yr,Scenario 1,Africa_Northern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2020,92.0696
Pcal/yr,Scenario 1,Africa_Northern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2025,103.145
Pcal/yr,Scenario 1,Africa_Northern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2030,116.008
Pcal/yr,Scenario 1,Africa_Northern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2035,128.14
Pcal/yr,Scenario 1,Africa_Northern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2040,139.652
Pcal/yr,Scenario 1,Africa_Northern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2045,150.399
Pcal/yr,Scenario 1,Africa_Northern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2050,160.129
Pcal/yr,Scenario 1,Africa_Northern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2055,168.842
