Units,scenario,region,gcam-consumer,nodeinput,input,year,value
2005$/Mcal/day,Lower Meat Demand,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_NonStaples,1975,0.713716
2005$/Mcal/day,Lower Meat Demand,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_NonStaples,1990,0.358485
2005$/Mcal/day,Lower Meat Demand,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2005,0.327379
2005$/Mcal/day,Lower Meat Demand,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2010,0.274034
2005$/Mcal/day,Lower Meat Demand,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2015,0.270179
2005$/Mcal/day,Lower Meat Demand,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2020,0.273658
2005$/Mcal/day,Lower Meat Demand,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2025,0.277427
2005$/Mcal/day,Lower Meat Demand,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2030,0.282528
2005$/Mcal/day,Lower Meat Demand,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2035,0.288621
2005$/Mcal/day,Lower Meat Demand,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2040,0.295078
2005$/Mcal/day,Lower Meat Demand,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2045,0.301827
2005$/Mcal/day,Lower Meat Demand,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2050,0.30822
2005$/Mcal/day,Lower Meat Demand,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2055,0.316234
2005$/Mcal/day,Lower Meat Demand,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2060,0.323081
2005$/Mcal/day,Lower Meat Demand,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2065,0.328627
2005$/Mcal/day,Lower Meat Demand,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2070,0.332825
2005$/Mcal/day,Lower Meat Demand,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2075,0.335839
2005$/Mcal/day,Lower Meat Demand,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2080,0.337886
2005$/Mcal/day,Lower Meat Demand,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2085,0.339138
2005$/Mcal/day,Lower Meat Demand,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2090,0.339767
