Units,scenario,region,gcam-consumer,nodeinput,input,year,value
2005$/Mcal/day,Reference,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_NonStaples,1975,0.713716
2005$/Mcal/day,Reference,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_NonStaples,1990,0.358485
2005$/Mcal/day,Reference,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2005,0.327379
2005$/Mcal/day,Reference,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2010,0.274034
2005$/Mcal/day,Reference,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2015,0.270179
2005$/Mcal/day,Reference,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2020,0.277877
2005$/Mcal/day,Reference,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2025,0.286098
2005$/Mcal/day,Reference,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2030,0.29507
2005$/Mcal/day,Reference,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2035,0.304932
2005$/Mcal/day,Reference,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2040,0.315605
2005$/Mcal/day,Reference,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2045,0.32694
2005$/Mcal/day,Reference,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2050,0.338063
2005$/Mcal/day,Reference,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2055,0.350417
2005$/Mcal/day,Reference,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2060,0.361245
2005$/Mcal/day,Reference,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2065,0.370278
2005$/Mcal/day,Reference,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2070,0.377367
2005$/Mcal/day,Reference,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2075,0.382777
2005$/Mcal/day,Reference,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2080,0.386825
2005$/Mcal/day,Reference,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2085,0.389748
2005$/Mcal/day,Reference,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2090,0.391741
2005$/Mcal/day,Reference,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2095,0.392985
2005$/Mcal/day,Reference,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2100,0.393519
2005$/Mcal/day,Reference,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_Staples,1975,0.0393059
2005$/Mcal/day,Reference,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_Staples,1990,0.0393309
2005$/Mcal/day,Reference,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_Staples,2005,0.03756
2005$/Mcal/day,Reference,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_Staples,2010,0.03618
2005$/Mcal/day,Reference,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_Staples,2015,0.0369779
2005$/Mcal/day,Reference,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_Staples,2020,0.0373543
2005$/Mcal/day,Reference,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_Staples,2025,0.0377437
2005$/Mcal/day,Reference,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_Staples,2030,0.0380241
2005$/Mcal/day,Reference,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_Staples,2035,0.0382834
2005$/Mcal/day,Reference,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_Staples,2040,0.038581
2005$/Mcal/day,Reference,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_Staples,2045,0.0389497
2005$/Mcal/day,Reference,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_Staples,2050,0.0393349
2005$/Mcal/day,Reference,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_Staples,2055,0.040413
2005$/Mcal/day,Reference,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_Staples,2060,0.0414663
2005$/Mcal/day,Reference,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_Staples,2065,0.0424837
2005$/Mcal/day,Reference,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_Staples,2070,0.0434295
2005$/Mcal/day,Reference,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_Staples,2075,0.044292
2005$/Mcal/day,Reference,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_Staples,2080,0.0450609
2005$/Mcal/day,Reference,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_Staples,2085,0.0457142
2005$/Mcal/day,Reference,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_Staples,2090,0.0462462
2005$/Mcal/day,Reference,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_Staples,2095,0.0466644
2005$/Mcal/day,Reference,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_Staples,2100,0.0469408
2005$/Mcal/day,Reference,Africa_Northern,FoodDemand,FoodDemand,FoodDemand_NonStaples,1975,0.385124
2005$/Mcal/day,Reference,Africa_Northern,FoodDemand,FoodDemand,FoodDemand_NonStaples,1990,0.320242
2005$/Mcal/day,Reference,Africa_Northern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2005,0.326498
2005$/Mcal/day,Reference,Africa_Northern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2010,0.308137
2005$/Mcal/day,Reference,Africa_Northern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2015,0.304967
2005$/Mcal/day,Reference,Africa_Northern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2020,0.307438
2005$/Mcal/day,Reference,Africa_Northern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2025,0.30931
2005$/Mcal/day,Reference,Africa_Northern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2030,0.310658
2005$/Mcal/day,Reference,Africa_Northern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2035,0.312399
2005$/Mcal/day,Reference,Africa_Northern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2040,0.31426
2005$/Mcal/day,Reference,Africa_Northern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2045,0.31619
