Units,scenario,region,gcam-consumer,nodeinput,input,year,value
2005$/Mcal/day,Scenario 1,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_NonStaples,1975,0.713716
2005$/Mcal/day,Scenario 1,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_NonStaples,1990,0.358485
2005$/Mcal/day,Scenario 1,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2005,0.327379
2005$/Mcal/day,Scenario 1,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2010,0.274034
2005$/Mcal/day,Scenario 1,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2015,0.270179
2005$/Mcal/day,Scenario 1,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2020,0.277375
2005$/Mcal/day,Scenario 1,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2025,0.334376
2005$/Mcal/day,Scenario 1,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2030,0.351038
2005$/Mcal/day,Scenario 1,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2035,0.367508
2005$/Mcal/day,Scenario 1,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2040,0.383607
2005$/Mcal/day,Scenario 1,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2045,0.398731
2005$/Mcal/day,Scenario 1,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2050,0.411033
2005$/Mcal/day,Scenario 1,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2055,0.424335
2005$/Mcal/day,Scenario 1,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2060,0.434835
2005$/Mcal/day,Scenario 1,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2065,0.443309
2005$/Mcal/day,Scenario 1,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2070,0.450093
2005$/Mcal/day,Scenario 1,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2075,0.455737
2005$/Mcal/day,Scenario 1,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2080,0.460764
2005$/Mcal/day,Scenario 1,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2085,0.46519
2005$/Mcal/day,Scenario 1,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2090,0.468953
2005$/Mcal/day,Scenario 1,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2095,0.472002
2005$/Mcal/day,Scenario 1,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2100,0.474199
2005$/Mcal/day,Scenario 1,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_Staples,1975,0.0393059
2005$/Mcal/day,Scenario 1,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_Staples,1990,0.0393309
2005$/Mcal/day,Scenario 1,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_Staples,2005,0.03756
2005$/Mcal/day,Scenario 1,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_Staples,2010,0.03618
2005$/Mcal/day,Scenario 1,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_Staples,2015,0.0369779
2005$/Mcal/day,Scenario 1,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_Staples,2020,0.0373478
2005$/Mcal/day,Scenario 1,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_Staples,2025,0.046971
2005$/Mcal/day,Scenario 1,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_Staples,2030,0.0480268
2005$/Mcal/day,Scenario 1,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_Staples,2035,0.0490779
2005$/Mcal/day,Scenario 1,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_Staples,2040,0.0502772
2005$/Mcal/day,Scenario 1,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_Staples,2045,0.05162
2005$/Mcal/day,Scenario 1,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_Staples,2050,0.0529196
2005$/Mcal/day,Scenario 1,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_Staples,2055,0.0556249
2005$/Mcal/day,Scenario 1,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_Staples,2060,0.0582459
2005$/Mcal/day,Scenario 1,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_Staples,2065,0.0607585
2005$/Mcal/day,Scenario 1,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_Staples,2070,0.0631453
2005$/Mcal/day,Scenario 1,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_Staples,2075,0.0653924
2005$/Mcal/day,Scenario 1,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_Staples,2080,0.0675124
2005$/Mcal/day,Scenario 1,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_Staples,2085,0.0694422
2005$/Mcal/day,Scenario 1,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_Staples,2090,0.071142
2005$/Mcal/day,Scenario 1,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_Staples,2095,0.0725647
2005$/Mcal/day,Scenario 1,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_Staples,2100,0.0736769
2005$/Mcal/day,Scenario 1,Africa_Northern,FoodDemand,FoodDemand,FoodDemand_NonStaples,1975,0.385124
2005$/Mcal/day,Scenario 1,Africa_Northern,FoodDemand,FoodDemand,FoodDemand_NonStaples,1990,0.320242
2005$/Mcal/day,Scenario 1,Africa_Northern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2005,0.326498
2005$/Mcal/day,Scenario 1,Africa_Northern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2010,0.308137
2005$/Mcal/day,Scenario 1,Africa_Northern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2015,0.304967
2005$/Mcal/day,Scenario 1,Africa_Northern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2020,0.307174
2005$/Mcal/day,Scenario 1,Africa_Northern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2025,0.312619
2005$/Mcal/day,Scenario 1,Africa_Northern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2030,0.314823
2005$/Mcal/day,Scenario 1,Africa_Northern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2035,0.31709
2005$/Mcal/day,Scenario 1,Africa_Northern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2040,0.31929
2005$/Mcal/day,Scenario 1,Africa_Northern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2045,0.321614
2005$/Mcal/day,Scenario 1,Africa_Northern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2050,0.323537
2005$/Mcal/day,Scenario 1,Africa_Northern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2055,0.326111
2005$/Mcal/day,Scenario 1,Africa_Northern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2060,0.32819
2005$/Mcal/day,Scenario 1,Africa_Northern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2065,0.329988
2005$/Mcal/day,Scenario 1,Africa_Northern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2070,0.331373
2005$/Mcal/day,Scenario 1,Africa_Northern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2075,0.332507
2005$/Mcal/day,Scenario 1,Africa_Northern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2080,0.333369
2005$/Mcal/day,Scenario 1,Africa_Northern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2085,0.334039
2005$/Mcal/day,Scenario 1,Africa_Northern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2090,0.33446
2005$/Mcal/day,Scenario 1,Africa_Northern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2095,0.334735
2005$/Mcal/day,Scenario 1,Africa_Northern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2100,0.334811
2005$/Mcal/day,Scenario 1,Africa_Northern,FoodDemand,FoodDemand,FoodDemand_Staples,1975,0.02604
2005$/Mcal/day,Scenario 1,Africa_Northern,FoodDemand,FoodDemand,FoodDemand_Staples,1990,0.025817
2005$/Mcal/day,Scenario 1,Africa_Northern,FoodDemand,FoodDemand,FoodDemand_Staples,2005,0.026863
2005$/Mcal/day,Scenario 1,Africa_Northern,FoodDemand,FoodDemand,FoodDemand_Staples,2010,0.0264329
2005$/Mcal/day,Scenario 1,Africa_Northern,FoodDemand,FoodDemand,FoodDemand_Staples,2015,0.0261315
2005$/Mcal/day,Scenario 1,Africa_Northern,FoodDemand,FoodDemand,FoodDemand_Staples,2020,0.0262576
2005$/Mcal/day,Scenario 1,Africa_Northern,FoodDemand,FoodDemand,FoodDemand_Staples,2025,0.026822
2005$/Mcal/day,Scenario 1,Africa_Northern,FoodDemand,FoodDemand,FoodDemand_Staples,2030,0.0270007
2005$/Mcal/day,Scenario 1,Africa_Northern,FoodDemand,FoodDemand,FoodDemand_Staples,2035,0.0273401
2005$/Mcal/day,Scenario 1,Africa_Northern,FoodDemand,FoodDemand,FoodDemand_Staples,2040,0.0276596
2005$/Mcal/day,Scenario 1,Africa_Northern,FoodDemand,FoodDemand,FoodDemand_Staples,2045,0.0280241
2005$/Mcal/day,Scenario 1,Africa_Northern,FoodDemand,FoodDemand,FoodDemand_Staples,2050,0.0283179
2005$/Mcal/day,Scenario 1,Africa_Northern,FoodDemand,FoodDemand,FoodDemand_Staples,2055,0.0287914
2005$/Mcal/day,Scenario 1,Africa_Northern,FoodDemand,FoodDemand,FoodDemand_Staples,2060,0.0291649
2005$/Mcal/day,Scenario 1,Africa_Northern,FoodDemand,FoodDemand,FoodDemand_Staples,2065,0.0294949
2005$/Mcal/day,Scenario 1,Africa_Northern,FoodDemand,FoodDemand,FoodDemand_Staples,2070,0.0297554
2005$/Mcal/day,Scenario 1,Africa_Northern,FoodDemand,FoodDemand,FoodDemand_Staples,2075,0.0299698
2005$/Mcal/day,Scenario 1,Africa_Northern,FoodDemand,FoodDemand,FoodDemand_Staples,2080,0.0301512
2005$/Mcal/day,Scenario 1,Africa_Northern,FoodDemand,FoodDemand,FoodDemand_Staples,2085,0.0302871
2005$/Mcal/day,Scenario 1,Africa_Northern,FoodDemand,FoodDemand,FoodDemand_Staples,2090,0.0303755
2005$/Mcal/day,Scenario 1,Africa_Northern,FoodDemand,FoodDemand,FoodDemand_Staples,2095,0.0304305
2005$/Mcal/day,Scenario 1,Africa_Northern,FoodDemand,FoodDemand,FoodDemand_Staples,2100,0.0304352
2005$/Mcal/day,Scenario 1,Africa_Southern,FoodDemand,FoodDemand,FoodDemand_NonStaples,1975,0.559309
2005$/Mcal/day,Scenario 1,Africa_Southern,FoodDemand,FoodDemand,FoodDemand_NonStaples,1990,0.288219
2005$/Mcal/day,Scenario 1,Africa_Southern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2005,0.254791
2005$/Mcal/day,Scenario 1,Africa_Southern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2010,0.232156
2005$/Mcal/day,Scenario 1,Africa_Southern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2015,0.226534
2005$/Mcal/day,Scenario 1,Africa_Southern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2020,0.227954
2005$/Mcal/day,Scenario 1,Africa_Southern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2025,0.247969
2005$/Mcal/day,Scenario 1,Africa_Southern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2030,0.251005
2005$/Mcal/day,Scenario 1,Africa_Southern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2035,0.254437
2005$/Mcal/day,Scenario 1,Africa_Southern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2040,0.257763
2005$/Mcal/day,Scenario 1,Africa_Southern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2045,0.261129
2005$/Mcal/day,Scenario 1,Africa_Southern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2050,0.264031
2005$/Mcal/day,Scenario 1,Africa_Southern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2055,0.268423
2005$/Mcal/day,Scenario 1,Africa_Southern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2060,0.272269
2005$/Mcal/day,Scenario 1,Africa_Southern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2065,0.275711
2005$/Mcal/day,Scenario 1,Africa_Southern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2070,0.278653
2005$/Mcal/day,Scenario 1,Africa_Southern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2075,0.281115
2005$/Mcal/day,Scenario 1,Africa_Southern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2080,0.283197
2005$/Mcal/day,Scenario 1,Africa_Southern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2085,0.284883
2005$/Mcal/day,Scenario 1,Africa_Southern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2090,0.286167
2005$/Mcal/day,Scenario 1,Africa_Southern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2095,0.287124
2005$/Mcal/day,Scenario 1,Africa_Southern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2100,0.287764
2005$/Mcal/day,Scenario 1,Africa_Southern,FoodDemand,FoodDemand,FoodDemand_Staples,1975,0.044549
2005$/Mcal/day,Scenario 1,Africa_Southern,FoodDemand,FoodDemand,FoodDemand_Staples,1990,0.0421755
2005$/Mcal/day,Scenario 1,Africa_Southern,FoodDemand,FoodDemand,FoodDemand_Staples,2005,0.0417657
2005$/Mcal/day,Scenario 1,Africa_Southern,FoodDemand,FoodDemand,FoodDemand_Staples,2010,0.0441231
2005$/Mcal/day,Scenario 1,Africa_Southern,FoodDemand,FoodDemand,FoodDemand_Staples,2015,0.0433531
2005$/Mcal/day,Scenario 1,Africa_Southern,FoodDemand,FoodDemand,FoodDemand_Staples,2020,0.0432157
2005$/Mcal/day,Scenario 1,Africa_Southern,FoodDemand,FoodDemand,FoodDemand_Staples,2025,0.0479844
2005$/Mcal/day,Scenario 1,Africa_Southern,FoodDemand,FoodDemand,FoodDemand_Staples,2030,0.0479945
2005$/Mcal/day,Scenario 1,Africa_Southern,FoodDemand,FoodDemand,FoodDemand_Staples,2035,0.0481031
2005$/Mcal/day,Scenario 1,Africa_Southern,FoodDemand,FoodDemand,FoodDemand_Staples,2040,0.0482292
2005$/Mcal/day,Scenario 1,Africa_Southern,FoodDemand,FoodDemand,FoodDemand_Staples,2045,0.0484238
2005$/Mcal/day,Scenario 1,Africa_Southern,FoodDemand,FoodDemand,FoodDemand_Staples,2050,0.0486007
2005$/Mcal/day,Scenario 1,Africa_Southern,FoodDemand,FoodDemand,FoodDemand_Staples,2055,0.0495399
2005$/Mcal/day,Scenario 1,Africa_Southern,FoodDemand,FoodDemand,FoodDemand_Staples,2060,0.0504126
2005$/Mcal/day,Scenario 1,Africa_Southern,FoodDemand,FoodDemand,FoodDemand_Staples,2065,0.051244
2005$/Mcal/day,Scenario 1,Africa_Southern,FoodDemand,FoodDemand,FoodDemand_Staples,2070,0.0520079
2005$/Mcal/day,Scenario 1,Africa_Southern,FoodDemand,FoodDemand,FoodDemand_Staples,2075,0.0526836
2005$/Mcal/day,Scenario 1,Africa_Southern,FoodDemand,FoodDemand,FoodDemand_Staples,2080,0.05329
2005$/Mcal/day,Scenario 1,Africa_Southern,FoodDemand,FoodDemand,FoodDemand_Staples,2085,0.0538101
2005$/Mcal/day,Scenario 1,Africa_Southern,FoodDemand,FoodDemand,FoodDemand_Staples,2090,0.0542192
2005$/Mcal/day,Scenario 1,Africa_Southern,FoodDemand,FoodDemand,FoodDemand_Staples,2095,0.0545306
2005$/Mcal/day,Scenario 1,Africa_Southern,FoodDemand,FoodDemand,FoodDemand_Staples,2100,0.0548218
2005$/Mcal/day,Scenario 1,Africa_Western,FoodDemand,FoodDemand,FoodDemand_NonStaples,1975,0.390602
2005$/Mcal/day,Scenario 1,Africa_Western,FoodDemand,FoodDemand,FoodDemand_NonStaples,1990,0.287137
2005$/Mcal/day,Scenario 1,Africa_Western,FoodDemand,FoodDemand,FoodDemand_NonStaples,2005,0.28545
2005$/Mcal/day,Scenario 1,Africa_Western,FoodDemand,FoodDemand,FoodDemand_NonStaples,2010,0.259493
2005$/Mcal/day,Scenario 1,Africa_Western,FoodDemand,FoodDemand,FoodDemand_NonStaples,2015,0.248112
2005$/Mcal/day,Scenario 1,Africa_Western,FoodDemand,FoodDemand,FoodDemand_NonStaples,2020,0.249733
2005$/Mcal/day,Scenario 1,Africa_Western,FoodDemand,FoodDemand,FoodDemand_NonStaples,2025,0.286036
