Units,scenario,region,gcam-consumer,nodeinput,input,year,value
2005$/Mcal/day,Scenario 1,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_NonStaples,1975,0.713716
2005$/Mcal/day,Scenario 1,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_NonStaples,1990,0.358485
2005$/Mcal/day,Scenario 1,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2005,0.327379
2005$/Mcal/day,Scenario 1,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2010,0.274034
2005$/Mcal/day,Scenario 1,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2015,0.270179
2005$/Mcal/day,Scenario 1,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2020,0.277375
2005$/Mcal/day,Scenario 1,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2025,0.33253
2005$/Mcal/day,Scenario 1,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2030,0.348499
2005$/Mcal/day,Scenario 1,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2035,0.363437
2005$/Mcal/day,Scenario 1,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2040,0.377199
2005$/Mcal/day,Scenario 1,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2045,0.389363
2005$/Mcal/day,Scenario 1,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2050,0.398738
2005$/Mcal/day,Scenario 1,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2055,0.409536
2005$/Mcal/day,Scenario 1,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2060,0.418431
2005$/Mcal/day,Scenario 1,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2065,0.426056
2005$/Mcal/day,Scenario 1,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2070,0.432794
2005$/Mcal/day,Scenario 1,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2075,0.439181
2005$/Mcal/day,Scenario 1,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2080,0.445522
2005$/Mcal/day,Scenario 1,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2085,0.451374
2005$/Mcal/day,Scenario 1,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2090,0.456111
2005$/Mcal/day,Scenario 1,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2095,0.459421
2005$/Mcal/day,Scenario 1,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2100,0.461356
2005$/Mcal/day,Scenario 1,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_Staples,1975,0.0393059
2005$/Mcal/day,Scenario 1,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_Staples,1990,0.0393309
2005$/Mcal/day,Scenario 1,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_Staples,2005,0.03756
2005$/Mcal/day,Scenario 1,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_Staples,2010,0.03618
2005$/Mcal/day,Scenario 1,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_Staples,2015,0.0369779
2005$/Mcal/day,Scenario 1,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_Staples,2020,0.0373478
2005$/Mcal/day,Scenario 1,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_Staples,2025,0.045669
2005$/Mcal/day,Scenario 1,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_Staples,2030,0.047013
2005$/Mcal/day,Scenario 1,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_Staples,2035,0.0482959
2005$/Mcal/day,Scenario 1,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_Staples,2040,0.0496453
2005$/Mcal/day,Scenario 1,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_Staples,2045,0.0510639
2005$/Mcal/day,Scenario 1,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_Staples,2050,0.0523902
2005$/Mcal/day,Scenario 1,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_Staples,2055,0.0551257
2005$/Mcal/day,Scenario 1,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_Staples,2060,0.0578104
2005$/Mcal/day,Scenario 1,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_Staples,2065,0.0604305
2005$/Mcal/day,Scenario 1,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_Staples,2070,0.063014
2005$/Mcal/day,Scenario 1,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_Staples,2075,0.0655927
2005$/Mcal/day,Scenario 1,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_Staples,2080,0.068169
2005$/Mcal/day,Scenario 1,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_Staples,2085,0.0706074
2005$/Mcal/day,Scenario 1,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_Staples,2090,0.0727254
2005$/Mcal/day,Scenario 1,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_Staples,2095,0.0743954
2005$/Mcal/day,Scenario 1,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_Staples,2100,0.0756292
2005$/Mcal/day,Scenario 1,Africa_Northern,FoodDemand,FoodDemand,FoodDemand_NonStaples,1975,0.385124
2005$/Mcal/day,Scenario 1,Africa_Northern,FoodDemand,FoodDemand,FoodDemand_NonStaples,1990,0.320242
2005$/Mcal/day,Scenario 1,Africa_Northern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2005,0.326498
2005$/Mcal/day,Scenario 1,Africa_Northern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2010,0.308137
2005$/Mcal/day,Scenario 1,Africa_Northern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2015,0.304967
2005$/Mcal/day,Scenario 1,Africa_Northern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2020,0.307174
2005$/Mcal/day,Scenario 1,Africa_Northern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2025,0.31054
2005$/Mcal/day,Scenario 1,Africa_Northern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2030,0.312734
2005$/Mcal/day,Scenario 1,Africa_Northern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2035,0.314961
2005$/Mcal/day,Scenario 1,Africa_Northern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2040,0.317218
2005$/Mcal/day,Scenario 1,Africa_Northern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2045,0.319595
2005$/Mcal/day,Scenario 1,Africa_Northern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2050,0.321529
2005$/Mcal/day,Scenario 1,Africa_Northern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2055,0.32411
2005$/Mcal/day,Scenario 1,Africa_Northern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2060,0.326196
2005$/Mcal/day,Scenario 1,Africa_Northern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2065,0.327965
2005$/Mcal/day,Scenario 1,Africa_Northern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2070,0.329322
2005$/Mcal/day,Scenario 1,Africa_Northern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2075,0.330383
2005$/Mcal/day,Scenario 1,Africa_Northern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2080,0.331183
2005$/Mcal/day,Scenario 1,Africa_Northern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2085,0.33181
2005$/Mcal/day,Scenario 1,Africa_Northern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2090,0.332229
2005$/Mcal/day,Scenario 1,Africa_Northern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2095,0.332483
2005$/Mcal/day,Scenario 1,Africa_Northern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2100,0.332523
2005$/Mcal/day,Scenario 1,Africa_Northern,FoodDemand,FoodDemand,FoodDemand_Staples,1975,0.02604
2005$/Mcal/day,Scenario 1,Africa_Northern,FoodDemand,FoodDemand,FoodDemand_Staples,1990,0.025817
2005$/Mcal/day,Scenario 1,Africa_Northern,FoodDemand,FoodDemand,FoodDemand_Staples,2005,0.026863
2005$/Mcal/day,Scenario 1,Africa_Northern,FoodDemand,FoodDemand,FoodDemand_Staples,2010,0.0264329
2005$/Mcal/day,Scenario 1,Africa_Northern,FoodDemand,FoodDemand,FoodDemand_Staples,2015,0.0261315
2005$/Mcal/day,Scenario 1,Africa_Northern,FoodDemand,FoodDemand,FoodDemand_Staples,2020,0.0262576
2005$/Mcal/day,Scenario 1,Africa_Northern,FoodDemand,FoodDemand,FoodDemand_Staples,2025,0.0272786
2005$/Mcal/day,Scenario 1,Africa_Northern,FoodDemand,FoodDemand,FoodDemand_Staples,2030,0.0274581
2005$/Mcal/day,Scenario 1,Africa_Northern,FoodDemand,FoodDemand,FoodDemand_Staples,2035,0.0278097
2005$/Mcal/day,Scenario 1,Africa_Northern,FoodDemand,FoodDemand,FoodDemand_Staples,2040,0.0281546
2005$/Mcal/day,Scenario 1,Africa_Northern,FoodDemand,FoodDemand,FoodDemand_Staples,2045,0.0285403
2005$/Mcal/day,Scenario 1,Africa_Northern,FoodDemand,FoodDemand,FoodDemand_Staples,2050,0.02884
2005$/Mcal/day,Scenario 1,Africa_Northern,FoodDemand,FoodDemand,FoodDemand_Staples,2055,0.029327
2005$/Mcal/day,Scenario 1,Africa_Northern,FoodDemand,FoodDemand,FoodDemand_Staples,2060,0.0297154
2005$/Mcal/day,Scenario 1,Africa_Northern,FoodDemand,FoodDemand,FoodDemand_Staples,2065,0.030056
2005$/Mcal/day,Scenario 1,Africa_Northern,FoodDemand,FoodDemand,FoodDemand_Staples,2070,0.0303311
2005$/Mcal/day,Scenario 1,Africa_Northern,FoodDemand,FoodDemand,FoodDemand_Staples,2075,0.0305599
2005$/Mcal/day,Scenario 1,Africa_Northern,FoodDemand,FoodDemand,FoodDemand_Staples,2080,0.0307657
2005$/Mcal/day,Scenario 1,Africa_Northern,FoodDemand,FoodDemand,FoodDemand_Staples,2085,0.0309349
2005$/Mcal/day,Scenario 1,Africa_Northern,FoodDemand,FoodDemand,FoodDemand_Staples,2090,0.0310593
2005$/Mcal/day,Scenario 1,Africa_Northern,FoodDemand,FoodDemand,FoodDemand_Staples,2095,0.0311329
2005$/Mcal/day,Scenario 1,Africa_Northern,FoodDemand,FoodDemand,FoodDemand_Staples,2100,0.0311406
2005$/Mcal/day,Scenario 1,Africa_Southern,FoodDemand,FoodDemand,FoodDemand_NonStaples,1975,0.559309
2005$/Mcal/day,Scenario 1,Africa_Southern,FoodDemand,FoodDemand,FoodDemand_NonStaples,1990,0.288219
2005$/Mcal/day,Scenario 1,Africa_Southern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2005,0.254791
2005$/Mcal/day,Scenario 1,Africa_Southern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2010,0.232156
2005$/Mcal/day,Scenario 1,Africa_Southern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2015,0.226534
2005$/Mcal/day,Scenario 1,Africa_Southern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2020,0.227954
2005$/Mcal/day,Scenario 1,Africa_Southern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2025,0.236461
2005$/Mcal/day,Scenario 1,Africa_Southern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2030,0.239882
2005$/Mcal/day,Scenario 1,Africa_Southern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2035,0.243484
2005$/Mcal/day,Scenario 1,Africa_Southern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2040,0.247014
2005$/Mcal/day,Scenario 1,Africa_Southern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2045,0.250578
2005$/Mcal/day,Scenario 1,Africa_Southern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2050,0.253706
2005$/Mcal/day,Scenario 1,Africa_Southern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2055,0.257832
2005$/Mcal/day,Scenario 1,Africa_Southern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2060,0.261441
2005$/Mcal/day,Scenario 1,Africa_Southern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2065,0.264623
2005$/Mcal/day,Scenario 1,Africa_Southern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2070,0.2673
2005$/Mcal/day,Scenario 1,Africa_Southern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2075,0.269486
2005$/Mcal/day,Scenario 1,Africa_Southern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2080,0.271269
2005$/Mcal/day,Scenario 1,Africa_Southern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2085,0.272648
2005$/Mcal/day,Scenario 1,Africa_Southern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2090,0.273639
2005$/Mcal/day,Scenario 1,Africa_Southern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2095,0.274321
2005$/Mcal/day,Scenario 1,Africa_Southern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2100,0.274722
2005$/Mcal/day,Scenario 1,Africa_Southern,FoodDemand,FoodDemand,FoodDemand_Staples,1975,0.044549
2005$/Mcal/day,Scenario 1,Africa_Southern,FoodDemand,FoodDemand,FoodDemand_Staples,1990,0.0421755
2005$/Mcal/day,Scenario 1,Africa_Southern,FoodDemand,FoodDemand,FoodDemand_Staples,2005,0.0417657
2005$/Mcal/day,Scenario 1,Africa_Southern,FoodDemand,FoodDemand,FoodDemand_Staples,2010,0.0441231
2005$/Mcal/day,Scenario 1,Africa_Southern,FoodDemand,FoodDemand,FoodDemand_Staples,2015,0.0433531
2005$/Mcal/day,Scenario 1,Africa_Southern,FoodDemand,FoodDemand,FoodDemand_Staples,2020,0.0432157
2005$/Mcal/day,Scenario 1,Africa_Southern,FoodDemand,FoodDemand,FoodDemand_Staples,2025,0.044723
2005$/Mcal/day,Scenario 1,Africa_Southern,FoodDemand,FoodDemand,FoodDemand_Staples,2030,0.0448411
2005$/Mcal/day,Scenario 1,Africa_Southern,FoodDemand,FoodDemand,FoodDemand_Staples,2035,0.0450566
2005$/Mcal/day,Scenario 1,Africa_Southern,FoodDemand,FoodDemand,FoodDemand_Staples,2040,0.045264
2005$/Mcal/day,Scenario 1,Africa_Southern,FoodDemand,FoodDemand,FoodDemand_Staples,2045,0.0455115
2005$/Mcal/day,Scenario 1,Africa_Southern,FoodDemand,FoodDemand,FoodDemand_Staples,2050,0.0457259
2005$/Mcal/day,Scenario 1,Africa_Southern,FoodDemand,FoodDemand,FoodDemand_Staples,2055,0.046465
2005$/Mcal/day,Scenario 1,Africa_Southern,FoodDemand,FoodDemand,FoodDemand_Staples,2060,0.0471459
2005$/Mcal/day,Scenario 1,Africa_Southern,FoodDemand,FoodDemand,FoodDemand_Staples,2065,0.0477864
2005$/Mcal/day,Scenario 1,Africa_Southern,FoodDemand,FoodDemand,FoodDemand_Staples,2070,0.0483668
2005$/Mcal/day,Scenario 1,Africa_Southern,FoodDemand,FoodDemand,FoodDemand_Staples,2075,0.0488726
2005$/Mcal/day,Scenario 1,Africa_Southern,FoodDemand,FoodDemand,FoodDemand_Staples,2080,0.0493221
2005$/Mcal/day,Scenario 1,Africa_Southern,FoodDemand,FoodDemand,FoodDemand_Staples,2085,0.0496985
2005$/Mcal/day,Scenario 1,Africa_Southern,FoodDemand,FoodDemand,FoodDemand_Staples,2090,0.0499831
2005$/Mcal/day,Scenario 1,Africa_Southern,FoodDemand,FoodDemand,FoodDemand_Staples,2095,0.0501857
2005$/Mcal/day,Scenario 1,Africa_Southern,FoodDemand,FoodDemand,FoodDemand_Staples,2100,0.0503836
2005$/Mcal/day,Scenario 1,Africa_Western,FoodDemand,FoodDemand,FoodDemand_NonStaples,1975,0.390602
2005$/Mcal/day,Scenario 1,Africa_Western,FoodDemand,FoodDemand,FoodDemand_NonStaples,1990,0.287137
2005$/Mcal/day,Scenario 1,Africa_Western,FoodDemand,FoodDemand,FoodDemand_NonStaples,2005,0.28545
2005$/Mcal/day,Scenario 1,Africa_Western,FoodDemand,FoodDemand,FoodDemand_NonStaples,2010,0.259493
2005$/Mcal/day,Scenario 1,Africa_Western,FoodDemand,FoodDemand,FoodDemand_NonStaples,2015,0.248112
2005$/Mcal/day,Scenario 1,Africa_Western,FoodDemand,FoodDemand,FoodDemand_NonStaples,2020,0.249733
2005$/Mcal/day,Scenario 1,Africa_Western,FoodDemand,FoodDemand,FoodDemand_NonStaples,2025,0.262138
