"","year","scenario","scenario_family","PercentChange"
"1",2025,"Farm","Nature-Friendly Farming",-1.83764072783591
"2",2025,"Farm_plus","Nature-Friendly Farming",-0.803770990608905
"3",2025,"NPC_bio","Nations Prioritize Conservation",4.21325886889717
"4",2025,"NPC_carb","Nations Prioritize Conservation",2.65050808729752
"5",2025,"Press","People Reduce Pressure",-7.02448046735203
"6",2025,"Press_plus","People Reduce Pressure",-3.58032946030912
"7",2030,"Farm","Nature-Friendly Farming",-5.34698622594791
"8",2030,"Farm_plus","Nature-Friendly Farming",1.91792980416583
"9",2030,"NPC_bio","Nations Prioritize Conservation",4.59504412054504
"10",2030,"NPC_carb","Nations Prioritize Conservation",2.97824761336438
"11",2030,"Press","People Reduce Pressure",-9.84564479454006
"12",2030,"Press_plus","People Reduce Pressure",-6.06413976800617
"13",2035,"Farm","Nature-Friendly Farming",-7.28993071918473
"14",2035,"Farm_plus","Nature-Friendly Farming",8.90963943707934
"15",2035,"NPC_bio","Nations Prioritize Conservation",4.99561585022713
"16",2035,"NPC_carb","Nations Prioritize Conservation",3.30024732319057
"17",2035,"Press","People Reduce Pressure",-11.927454594938
"18",2035,"Press_plus","People Reduce Pressure",-7.71626478718333
"19",2040,"Farm","Nature-Friendly Farming",-9.1550463791654
"20",2040,"Farm_plus","Nature-Friendly Farming",17.7193474200734
"21",2040,"NPC_bio","Nations Prioritize Conservation",5.39013371898765
"22",2040,"NPC_carb","Nations Prioritize Conservation",3.60562919194663
"23",2040,"Press","People Reduce Pressure",-13.7589329359981
"24",2040,"Press_plus","People Reduce Pressure",-9.09626664399027
"25",2045,"Farm","Nature-Friendly Farming",-10.7965317548987
"26",2045,"Farm_plus","Nature-Friendly Farming",27.9970581073432
"27",2045,"NPC_bio","Nations Prioritize Conservation",5.83972749494497
"28",2045,"NPC_carb","Nations Prioritize Conservation",3.92669901829936
"29",2045,"Press","People Reduce Pressure",-15.3669582867667
"30",2045,"Press_plus","People Reduce Pressure",-10.2046578259506
"31",2050,"Farm","Nature-Friendly Farming",-12.4782602985019
"32",2050,"Farm_plus","Nature-Friendly Farming",39.7569982599468
