Units,scenario,region,year,value
thous,Reference,Africa_Eastern,1975,91890
thous,Reference,Africa_Eastern,1990,145593
thous,Reference,Africa_Eastern,2005,222829
thous,Reference,Africa_Eastern,2010,255333
thous,Reference,Africa_Eastern,2015,292560
thous,Reference,Africa_Eastern,2020,327652
thous,Reference,Africa_Eastern,2025,363312
thous,Reference,Africa_Eastern,2030,398928
thous,Reference,Africa_Eastern,2035,433912
thous,Reference,Africa_Eastern,2040,467666
thous,Reference,Africa_Eastern,2045,499664
thous,Reference,Africa_Eastern,2050,529402
thous,Reference,Africa_Eastern,2055,556634
thous,Reference,Africa_Eastern,2060,581206
thous,Reference,Africa_Eastern,2065,603136
thous,Reference,Africa_Eastern,2070,622472
thous,Reference,Africa_Eastern,2075,639201
thous,Reference,Africa_Eastern,2080,653078
thous,Reference,Africa_Eastern,2085,664120
thous,Reference,Africa_Eastern,2090,672314
thous,Reference,Africa_Eastern,2095,678024
thous,Reference,Africa_Eastern,2100,681323
thous,Reference,Africa_Northern,1975,81330
thous,Reference,Africa_Northern,1990,119597
thous,Reference,Africa_Northern,2005,155472
thous,Reference,Africa_Northern,2010,168395
thous,Reference,Africa_Northern,2015,184959
thous,Reference,Africa_Northern,2020,196801
thous,Reference,Africa_Northern,2025,207480
thous,Reference,Africa_Northern,2030,216852
thous,Reference,Africa_Northern,2035,225136
thous,Reference,Africa_Northern,2040,232477
thous,Reference,Africa_Northern,2045,238781
thous,Reference,Africa_Northern,2050,243731
thous,Reference,Africa_Northern,2055,247357
thous,Reference,Africa_Northern,2060,249677
thous,Reference,Africa_Northern,2065,250848
thous,Reference,Africa_Northern,2070,250893
thous,Reference,Africa_Northern,2075,249970
thous,Reference,Africa_Northern,2080,248377
thous,Reference,Africa_Northern,2085,246266
thous,Reference,Africa_Northern,2090,243811
thous,Reference,Africa_Northern,2095,240965
thous,Reference,Africa_Northern,2100,237829
thous,Reference,Africa_Southern,1975,53046
thous,Reference,Africa_Southern,1990,83159
thous,Reference,Africa_Southern,2005,121701
thous,Reference,Africa_Southern,2010,139244
thous,Reference,Africa_Southern,2015,160447
thous,Reference,Africa_Southern,2020,179810
thous,Reference,Africa_Southern,2025,199719
thous,Reference,Africa_Southern,2030,219910
thous,Reference,Africa_Southern,2035,240067
thous,Reference,Africa_Southern,2040,260006
thous,Reference,Africa_Southern,2045,279087
thous,Reference,Africa_Southern,2050,297214
thous,Reference,Africa_Southern,2055,313929
thous,Reference,Africa_Southern,2060,329226
thous,Reference,Africa_Southern,2065,343254
thous,Reference,Africa_Southern,2070,355958
thous,Reference,Africa_Southern,2075,367099
thous,Reference,Africa_Southern,2080,376885
thous,Reference,Africa_Southern,2085,385319
thous,Reference,Africa_Southern,2090,392092
thous,Reference,Africa_Southern,2095,397271
thous,Reference,Africa_Southern,2100,400909
thous,Reference,Africa_Western,1975,159160
thous,Reference,Africa_Western,1990,239535
thous,Reference,Africa_Western,2005,360464
thous,Reference,Africa_Western,2010,415301
thous,Reference,Africa_Western,2015,478031
thous,Reference,Africa_Western,2020,537465
thous,Reference,Africa_Western,2025,599748
thous,Reference,Africa_Western,2030,664116
thous,Reference,Africa_Western,2035,729808
thous,Reference,Africa_Western,2040,795629
thous,Reference,Africa_Western,2045,860599
thous,Reference,Africa_Western,2050,924076
thous,Reference,Africa_Western,2055,982617
thous,Reference,Africa_Western,2060,1036430
thous,Reference,Africa_Western,2065,1086770
thous,Reference,Africa_Western,2070,1133100
thous,Reference,Africa_Western,2075,1174800
thous,Reference,Africa_Western,2080,1211620
thous,Reference,Africa_Western,2085,1243150
thous,Reference,Africa_Western,2090,1269550
thous,Reference,Africa_Western,2095,1291420
thous,Reference,Africa_Western,2100,1309180
thous,Reference,Argentina,1975,25866
thous,Reference,Argentina,1990,32619
thous,Reference,Argentina,2005,38893
thous,Reference,Argentina,2010,40896
thous,Reference,Argentina,2015,43075
thous,Reference,Argentina,2020,44637
thous,Reference,Argentina,2025,46040
thous,Reference,Argentina,2030,47286
thous,Reference,Argentina,2035,48376
thous,Reference,Argentina,2040,49321
thous,Reference,Argentina,2045,50052
thous,Reference,Argentina,2050,50587
thous,Reference,Argentina,2055,50920
thous,Reference,Argentina,2060,51055
thous,Reference,Argentina,2065,51051
thous,Reference,Argentina,2070,50881
thous,Reference,Argentina,2075,50559
thous,Reference,Argentina,2080,50101
thous,Reference,Argentina,2085,49577
thous,Reference,Argentina,2090,49002
thous,Reference,Argentina,2095,48379
thous,Reference,Argentina,2100,47716
thous,Reference,Australia_NZ,1975,16856
thous,Reference,Australia_NZ,1990,20359
thous,Reference,Australia_NZ,2005,24314
thous,Reference,Australia_NZ,2010,26525
thous,Reference,Australia_NZ,2015,28547
thous,Reference,Australia_NZ,2020,30619
thous,Reference,Australia_NZ,2025,32663
thous,Reference,Australia_NZ,2030,34591
thous,Reference,Australia_NZ,2035,36424
thous,Reference,Australia_NZ,2040,38212
thous,Reference,Australia_NZ,2045,39967
thous,Reference,Australia_NZ,2050,41667
thous,Reference,Australia_NZ,2055,43281
thous,Reference,Australia_NZ,2060,44784
thous,Reference,Australia_NZ,2065,46069
thous,Reference,Australia_NZ,2070,47145
thous,Reference,Australia_NZ,2075,48016
thous,Reference,Australia_NZ,2080,48667
thous,Reference,Australia_NZ,2085,49082
thous,Reference,Australia_NZ,2090,49233
thous,Reference,Australia_NZ,2095,49103
thous,Reference,Australia_NZ,2100,48725
thous,Reference,Brazil,1975,107216
thous,Reference,Brazil,1990,149003
thous,Reference,Brazil,2005,186127
thous,Reference,Brazil,2010,195714
thous,Reference,Brazil,2015,204472
thous,Reference,Brazil,2020,212114
thous,Reference,Brazil,2025,218835
thous,Reference,Brazil,2030,224269
thous,Reference,Brazil,2035,228418
thous,Reference,Brazil,2040,231336
thous,Reference,Brazil,2045,233038
thous,Reference,Brazil,2050,233377
thous,Reference,Brazil,2055,232304
thous,Reference,Brazil,2060,230153
thous,Reference,Brazil,2065,227015
thous,Reference,Brazil,2070,223022
thous,Reference,Brazil,2075,218264
thous,Reference,Brazil,2080,212960
thous,Reference,Brazil,2085,207279
thous,Reference,Brazil,2090,201425
thous,Reference,Brazil,2095,195525
thous,Reference,Brazil,2100,189641
thous,Reference,Canada,1975,23059
thous,Reference,Canada,1990,27541
thous,Reference,Canada,2005,32164
thous,Reference,Canada,2010,34148
thous,Reference,Canada,2015,36027
thous,Reference,Canada,2020,37942
thous,Reference,Canada,2025,39827
thous,Reference,Canada,2030,41578
thous,Reference,Canada,2035,43194
thous,Reference,Canada,2040,44749
thous,Reference,Canada,2045,46285
thous,Reference,Canada,2050,47808
thous,Reference,Canada,2055,49283
thous,Reference,Canada,2060,50702
thous,Reference,Canada,2065,51943
thous,Reference,Canada,2070,53010
thous,Reference,Canada,2075,53899
thous,Reference,Canada,2080,54577
thous,Reference,Canada,2085,55014
thous,Reference,Canada,2090,55203
thous,Reference,Canada,2095,55088
thous,Reference,Canada,2100,54679
thous,Reference,Central America and Caribbean,1975,45127
thous,Reference,Central America and Caribbean,1990,59989
thous,Reference,Central America and Caribbean,2005,75932
thous,Reference,Central America and Caribbean,2010,80984
thous,Reference,Central America and Caribbean,2015,86156
thous,Reference,Central America and Caribbean,2020,90410
thous,Reference,Central America and Caribbean,2025,94236
thous,Reference,Central America and Caribbean,2030,97597
thous,Reference,Central America and Caribbean,2035,100446
thous,Reference,Central America and Caribbean,2040,102754
thous,Reference,Central America and Caribbean,2045,104535
thous,Reference,Central America and Caribbean,2050,105763
thous,Reference,Central America and Caribbean,2055,106465
thous,Reference,Central America and Caribbean,2060,106650
thous,Reference,Central America and Caribbean,2065,106558
thous,Reference,Central America and Caribbean,2070,106227
thous,Reference,Central America and Caribbean,2075,105638
thous,Reference,Central America and Caribbean,2080,104841
thous,Reference,Central America and Caribbean,2085,103819
thous,Reference,Central America and Caribbean,2090,102640
thous,Reference,Central America and Caribbean,2095,101344
thous,Reference,Central America and Caribbean,2100,99983
thous,Reference,Central Asia,1975,51975
thous,Reference,Central Asia,1990,68498
thous,Reference,Central Asia,2005,76706
thous,Reference,Central Asia,2010,81534
thous,Reference,Central Asia,2015,88051
thous,Reference,Central Asia,2020,91528
thous,Reference,Central Asia,2025,94287
thous,Reference,Central Asia,2030,96353
thous,Reference,Central Asia,2035,97911
thous,Reference,Central Asia,2040,99103
thous,Reference,Central Asia,2045,99832
thous,Reference,Central Asia,2050,99981
thous,Reference,Central Asia,2055,99590
thous,Reference,Central Asia,2060,98781
thous,Reference,Central Asia,2065,97769
thous,Reference,Central Asia,2070,96551
thous,Reference,Central Asia,2075,95122
thous,Reference,Central Asia,2080,93500
thous,Reference,Central Asia,2085,91781
thous,Reference,Central Asia,2090,90071
thous,Reference,Central Asia,2095,88412
thous,Reference,Central Asia,2100,86771
thous,Reference,China,1975,930691
thous,Reference,China,1990,1182960
thous,Reference,China,2005,1338030
thous,Reference,China,2010,1376320
thous,Reference,China,2015,1414640
thous,Reference,China,2020,1431260
thous,Reference,China,2025,1437680
thous,Reference,China,2030,1433380
thous,Reference,China,2035,1417840
thous,Reference,China,2040,1391620
thous,Reference,China,2045,1356310
thous,Reference,China,2050,1313220
thous,Reference,China,2055,1264140
thous,Reference,China,2060,1211040
thous,Reference,China,2065,1156060
thous,Reference,China,2070,1101080
thous,Reference,China,2075,1046470
thous,Reference,China,2080,992245
thous,Reference,China,2085,939257
thous,Reference,China,2090,889160
thous,Reference,China,2095,842988
thous,Reference,China,2100,800756
thous,Reference,Colombia,1975,24066
thous,Reference,Colombia,1990,33103
thous,Reference,Colombia,2005,42648
thous,Reference,Colombia,2010,45223
thous,Reference,Colombia,2015,47521
thous,Reference,Colombia,2020,50315
thous,Reference,Colombia,2025,52898
thous,Reference,Colombia,2030,55222
thous,Reference,Colombia,2035,57240
thous,Reference,Colombia,2040,58976
thous,Reference,Colombia,2045,60431
thous,Reference,Colombia,2050,61553
thous,Reference,Colombia,2055,62356
thous,Reference,Colombia,2060,62899
thous,Reference,Colombia,2065,63157
thous,Reference,Colombia,2070,63179
thous,Reference,Colombia,2075,62972
thous,Reference,Colombia,2080,62528
thous,Reference,Colombia,2085,61871
thous,Reference,Colombia,2090,61079
thous,Reference,Colombia,2095,60178
thous,Reference,Colombia,2100,59180
thous,Reference,EU-12,1975,99629
thous,Reference,EU-12,1990,107358
thous,Reference,EU-12,2005,103595
thous,Reference,EU-12,2010,102240
thous,Reference,EU-12,2015,100885
thous,Reference,EU-12,2020,100489
thous,Reference,EU-12,2025,99871
thous,Reference,EU-12,2030,98929
thous,Reference,EU-12,2035,97638
thous,Reference,EU-12,2040,96191
thous,Reference,EU-12,2045,94712
thous,Reference,EU-12,2050,93190
thous,Reference,EU-12,2055,91540
thous,Reference,EU-12,2060,89687
thous,Reference,EU-12,2065,87507
thous,Reference,EU-12,2070,85081
thous,Reference,EU-12,2075,82569
thous,Reference,EU-12,2080,80124
thous,Reference,EU-12,2085,77829
thous,Reference,EU-12,2090,75700
thous,Reference,EU-12,2095,73704
thous,Reference,EU-12,2100,71775
thous,Reference,EU-15,1975,350014
thous,Reference,EU-15,1990,365030
thous,Reference,EU-15,2005,387123
thous,Reference,EU-15,2010,396932
thous,Reference,EU-15,2015,404066
thous,Reference,EU-15,2020,410786
thous,Reference,EU-15,2025,417109
thous,Reference,EU-15,2030,422887
thous,Reference,EU-15,2035,428181
thous,Reference,EU-15,2040,433036
thous,Reference,EU-15,2045,437256
thous,Reference,EU-15,2050,440600
thous,Reference,EU-15,2055,442992
thous,Reference,EU-15,2060,444653
thous,Reference,EU-15,2065,445271
thous,Reference,EU-15,2070,445263
thous,Reference,EU-15,2075,444778
thous,Reference,EU-15,2080,443719
thous,Reference,EU-15,2085,441988
thous,Reference,EU-15,2090,439290
thous,Reference,EU-15,2095,435605
thous,Reference,EU-15,2100,430661
thous,Reference,Europe_Eastern,1975,61848
thous,Reference,Europe_Eastern,1990,65980
thous,Reference,Europe_Eastern,2005,60612
thous,Reference,Europe_Eastern,2010,59299
thous,Reference,Europe_Eastern,2015,58432
thous,Reference,Europe_Eastern,2020,56851
thous,Reference,Europe_Eastern,2025,55458
thous,Reference,Europe_Eastern,2030,54198
thous,Reference,Europe_Eastern,2035,53087
thous,Reference,Europe_Eastern,2040,52133
thous,Reference,Europe_Eastern,2045,51262
thous,Reference,Europe_Eastern,2050,50429
thous,Reference,Europe_Eastern,2055,49635
thous,Reference,Europe_Eastern,2060,48892
thous,Reference,Europe_Eastern,2065,48066
thous,Reference,Europe_Eastern,2070,47179
thous,Reference,Europe_Eastern,2075,46230
thous,Reference,Europe_Eastern,2080,45227
thous,Reference,Europe_Eastern,2085,44191
thous,Reference,Europe_Eastern,2090,43146
thous,Reference,Europe_Eastern,2095,42092
thous,Reference,Europe_Eastern,2100,41002
thous,Reference,Europe_Non_EU,1975,61029
thous,Reference,Europe_Non_EU,1990,78577
thous,Reference,Europe_Non_EU,2005,91004
thous,Reference,Europe_Non_EU,2010,94995
thous,Reference,Europe_Non_EU,2015,100665
thous,Reference,Europe_Non_EU,2020,104683
thous,Reference,Europe_Non_EU,2025,108334
thous,Reference,Europe_Non_EU,2030,111526
thous,Reference,Europe_Non_EU,2035,114226
thous,Reference,Europe_Non_EU,2040,116432
thous,Reference,Europe_Non_EU,2045,118121
thous,Reference,Europe_Non_EU,2050,119289
thous,Reference,Europe_Non_EU,2055,119897
thous,Reference,Europe_Non_EU,2060,120004
thous,Reference,Europe_Non_EU,2065,119658
thous,Reference,Europe_Non_EU,2070,118869
thous,Reference,Europe_Non_EU,2075,117659
